,X,Y,Z,R_x,R_y,R_z, Fx, Fy, Fz, Tx, Ty, Tz
2700,0.581425,0.748927774375864,0.6512014780725393,141.972183,7.247341,111.326225,34.0,-174.0,-781.0,322.0,-598.0,125.0
2701,0.581425,0.748927774375864,0.6512014780725393,141.972183,7.247341,111.326225,30.49824912456228,-174.50025012506254,-785.5022511255628,328.0030015007504,-603.5027513756878,129.00200100050023
2702,0.582158,0.7488906144178453,0.6470269552721817,141.604797,7.319597,110.608246,28.663665444222406,-175.33433388911115,-789.3386692229999,332.0060026673331,-608.3400032232222,131.67066844488875
2703,0.581991,0.748899080602005,0.64797804027581,141.595444,7.265336,110.524529,24.241119685969547,-173.74837306115577,-799.0185120039987,335.7601294374668,-617.2683860655294,134.50725337518622
2704,0.580488,0.7489752762594433,0.6565378053084672,141.542038,6.085507,107.003059,15.976382796206808,-172.1955959988016,-807.6320193995872,339.41540679779393,-621.8238105951883,137.81240639919545
2705,0.580333,0.7489831340950407,0.6574205488747094,141.466553,6.074967,107.160835,10.466562799143967,-172.8312503509557,-811.5364308566842,342.1864239779796,-623.5240871908063,139.18042081206568
2706,0.580223,0.7489887106235291,0.6580470120507522,141.451614,6.030248,107.047218,5.6712633104784445,-174.14500643542846,-818.9104545435193,344.452292554549,-628.0341538356865,139.7277141279866
2707,0.580067,0.7489966191548401,0.6589354507367764,141.405258,6.068834,107.695587,-1.4374754901135578,-175.13032234809748,-828.4549868604103,346.77888278524756,-631.416699869094,140.76537441845514
2708,0.579314,0.7490347930271295,0.6632238759327787,141.849411,6.822389,110.483986,-6.6318182878516865,-176.34290333289582,-837.8865154278327,348.9231194395065,-635.9440225381786,142.4648928294239
2709,0.579314,0.7490347930271295,0.6632238759327787,141.849411,6.822389,110.483986,-10.2850321595482,-177.1120650133612,-848.6461533657965,352.04481774301905,-642.2780475213402,144.22630881838535
2710,0.579314,0.7490347930271295,0.6632238759327787,141.849411,6.822389,110.483986,-14.370394891561462,-177.01046169839577,-859.8249570035717,354.41620118387567,-647.8258811361724,146.48974586364727
2711,0.579314,0.7490347930271295,0.6632238759327787,141.849411,6.822389,110.483986,-18.361406208667393,-176.75820710420678,-873.2464499565632,357.7330329881605,-655.6331884191175,149.54903718291922
2712,0.579314,0.7490347930271295,0.6632238759327787,141.849411,6.822389,110.483986,-22.976580109419174,-177.16384687918963,-888.7045168246148,361.15866290045017,-665.1800146071923,151.44119188120862
2713,0.579782,0.7490110674331967,0.6605585598747057,141.71994,6.833121,109.744453,-27.291904965508543,-178.08668950827973,-901.8104716524738,364.23869877962545,-673.0035206430181,153.9257634691605
2714,0.579486,0.7490260733644021,0.6622443153302391,141.42514,6.696791,108.804253,-30.561902390107825,-178.01373506629432,-913.7060159342216,366.6395186599377,-681.2608374288071,155.87765008083585
2715,0.57849,0.7490765662950796,0.6679166546333177,141.416855,5.924947,107.600807,-32.22671147949675,-178.2647504832229,-921.8476682971161,368.67726071940336,-687.2265699598271,157.83742690718285
2716,0.578573,0.7490723585508565,0.6674439596913939,141.558441,6.787811,109.750458,-33.6363612248085,-178.36764302319557,-928.0234360177649,369.941603848471,-690.9487537709628,158.97368183701766
2717,0.581353,0.7489314244672383,0.6516115266968581,141.552032,7.050435,101.596268,-34.32908692799873,-178.57116134710873,-933.6250503035286,371.62575395908567,-693.8091180282644,160.31985899789692
2718,0.582805,0.7488578142911902,0.6433422127730934,139.658463,7.050435,101.596268,-34.152289631560585,-178.80636298561404,-937.8404032861213,372.60155215672415,-696.1559562541189,160.99326125386443
2719,0.582496,0.7488734792666716,0.6451020047857954,139.736786,7.168226,100.975121,-34.80079918226988,-178.96756712595766,-941.0284889849174,373.4797677508115,-697.6623840024073,162.05361133301855
2720,0.582496,0.7488734792666716,0.6451020047857954,139.736786,7.168226,100.975121,-35.387543960862196,-179.59438785425368,-944.8748775496535,374.8034079481588,-700.0834715633601,163.01297248929322
2721,0.581427,0.748927672984437,0.6511900878329748,141.550858,8.034753,99.161926,-37.2070885978499,-179.98048828905834,-948.509383121923,375.5473765164366,-701.5954478146173,163.9310495880851
2722,0.581186,0.7489398906513981,0.6525626117004868,141.550858,8.033098,99.379982,-38.73653055733195,-180.4209303505781,-952.7509597018155,377.23769369421353,-703.6353193391059,165.7803348406948
2723,0.577604,0.7491214826972687,0.6729625307603526,141.550858,6.745049,108.340431,-40.054217978898436,-180.6139282035702,-957.2712741101429,378.07063203741416,-706.13741185752,166.50610637496462
2724,0.577432,0.7491302023599962,0.6739420913628926,141.595993,6.792113,108.573463,-41.30696763387175,-180.58907511229344,-960.0130738789271,378.9988605689891,-707.2248653270827,167.1738135130114
2725,0.576877,0.7491583384810063,0.6771028828420174,141.605881,6.787297,109.606491,-41.606568719079306,-180.91663414285873,-962.0376772786287,379.7388499155536,-708.1897198708971,167.75121152066163
2726,0.577341,0.7491348156699276,0.6744603472630732,141.876022,7.053331,108.597412,-42.821995091241575,-181.55761512471275,-965.0004041540392,381.0993960619425,-708.820454466907,169.03625231709347
2727,0.577219,0.7491410005469784,0.6751551518765022,141.892609,7.069134,108.526329,-44.56597913129562,-181.89941774924515,-967.3895076883877,381.3491893681929,-708.320171151684,169.25213258854922
2728,0.576033,0.749201125663227,0.6819095639382002,141.72966,6.285305,106.724937,-45.70012977427378,-182.46242181790308,-969.4739633424412,382.9455038196181,-708.0292319708908,170.74693711824054
