,X,Y,Z,R_x,R_y,R_z, Fx, Fy, Fz, Tx, Ty, Tz
19100,0.829296,0.7448405401674989,0.6299432438753305,136.868134,13.963758,109.658051,-455.0,-338.0,-1279.0,500.0,-635.0,210.0
19101,0.831659,0.7446952152622068,0.6214564597971739,139.098969,14.582198,112.085274,-458.0015007503752,-337.4997498749375,-1288.0045022511256,504.00200100050023,-644.5047523761881,214.50225112556276
19102,0.831623,0.7446974292683815,0.6215857548571884,139.053497,14.582198,112.277618,-459.6693344446666,-336.9993329998889,-1297.6793397800002,505.3360008888885,-653.011672335111,216.3366678889997
19103,0.831509,0.7447044402879343,0.6219951892138997,139.000214,14.582198,112.55304,-454.4942433706863,-336.74912468759396,-1294.0039954929953,504.2503733106552,-656.2636289350895,216.0019992483738
19104,0.831467,0.7447070232951379,0.6221460334505835,139.029022,14.559433,112.804695,-452.19079239920507,-333.79339419760106,-1287.9911827886012,502.5969951974009,-654.2067935889937,214.9995965971998
19105,0.832137,0.7446658181802223,0.6197397087225407,138.740723,12.817002,112.00412,-450.48807587950495,-331.8229088479871,-1283.481392870402,500.82640876261047,-650.3293138734484,214.16424490084373
19106,0.838829,0.7442542590324379,0.5957051936776727,138.859039,12.817002,116.103165,-451.2778590154429,-330.2721344354456,-1284.5587061618933,500.1348505762995,-648.1328334215981,213.99742457300772
19107,0.83418,0.7445401733298153,0.6124022140667331,135.227646,12.817002,107.139145,-452.99913908484416,-329.23449314090095,-1288.8789585710938,500.11793516859507,-649.119676294682,214.12318578639966
19108,0.833458,0.7445845764536497,0.6149952983259075,136.198059,12.817002,108.526207,-453.8916854986779,-327.9812146911836,-1292.5738192946203,501.108785427933,-652.2299019570938,214.66722511959654
19109,0.833458,0.7445845764536497,0.6149952983259075,136.198059,12.817002,108.526207,-454.60572155761935,-327.4808475639029,-1296.4337608638828,502.303267746841,-656.2248411321955,215.80561171053446
19110,0.833458,0.7445845764536497,0.6149952983259075,136.198059,12.817002,108.526207,-455.1899319039139,-327.7110087822988,-1298.4041505094876,502.8237471023078,-658.6711413637548,216.8283819133142
19111,0.833458,0.7445845764536497,0.6149952983259075,136.198059,12.817002,108.526207,-454.9226390237748,-327.73522412520924,-1298.7892489642531,502.5033451606096,-659.8717945467545,217.17793289020562
19112,0.833445,0.7445853759558795,0.6150419882086902,136.154007,12.817002,108.309372,-453.53568318533684,-327.36878552551093,-1297.8769297650506,502.46439344661644,-660.6555727430148,216.8546206588436
19113,0.833613,0.7445750439270648,0.6144386112619569,136.37677,12.817002,107.683594,-452.9220186210629,-326.55143784936683,-1297.4544136681864,502.14343026186845,-660.8960170578799,217.1526486376129
19114,0.833981,0.7445524118639469,0.6131169284262565,137.493164,12.817002,109.591652,-452.1887735057076,-325.4402640475066,-1297.6253105333426,502.6037431804788,-662.1785548983781,217.41093894926698
19115,0.833981,0.7445524118639469,0.6131169284262565,137.493164,12.817002,109.591652,-451.73609587169426,-324.2161090888571,-1299.8528575160108,503.44730652781215,-665.9455160093886,218.39258335179724
19116,0.833981,0.7445524118639469,0.6131169284262565,137.493164,12.817002,109.591652,-451.6331531466581,-323.1359752438683,-1303.0042455034989,504.84387597279414,-671.048162256065,219.4366244558427
19117,0.833981,0.7445524118639469,0.6131169284262565,137.493164,12.817002,109.591652,-451.65370730947905,-322.17585899358784,-1305.7494420515434,506.141296788104,-677.208683887533,220.58877545627263
19118,0.833981,0.7445524118639469,0.6131169284262565,137.493164,12.817002,109.591652,-452.30937993561565,-321.31681019147373,-1308.5774110660893,507.30214350526376,-683.3048882769631,221.93828536565022
19119,0.826298,0.7450249176817036,0.64071064915096,137.966843,12.817002,113.966362,-453.50520338846366,-320.44271539365064,-1310.9206684581804,508.6497622189323,-688.7409781726896,223.30427042412853
19120,0.825865,0.74505154725597,0.6422657814005759,137.880981,12.705338,113.772125,-455.21239608823015,-319.7480643281806,-1314.0026911053692,510.0614201648738,-694.4288805701779,224.82873945371344
19121,0.833299,0.7445943549809207,0.615566351507637,136.502487,14.392151,108.075897,-457.6830569868471,-318.93283097750555,-1317.723193031936,511.48254202006507,-700.7480240314067,226.21461553430575
19122,0.831913,0.7446795942186418,0.6205442113181849,138.878616,14.392151,107.307846,-459.6751189134466,-318.0126564724837,-1321.5597449411368,513.1757092208834,-708.1880761379865,227.6118513142669
19123,0.830835,0.744745891403536,0.6244158800597219,141.905228,14.378939,110.777054,-461.2904295184769,-317.16916641280613,-1324.2757619106965,515.064955846201,-716.146089165651,229.22982851136513
