,X,Y,Z,R_x,R_y,R_z, Fx, Fy, Fz, Tx, Ty, Tz
4000,0.689079,0.7492182148225218,0.6792006987189305,140.763824,10.943746,108.029716,-220.0,-149.0,-1556.0,581.0,-1397.0,381.0
4001,0.692907,0.7491048419991898,0.6654171402125009,140.221634,12.897799,100.608673,-222.63157894736844,-150.0526315789474,-1558.1052631578948,579.4210526315791,-1395.9473684210527,382.05263157894746
4002,0.690684,0.7491706799788834,0.673421542135122,141.690628,11.850819,102.055511,-224.98154981549817,-153.35424354243543,-1561.387453874539,581.479704797048,-1397.4428044280444,383.1402214022141
4003,0.690745,0.7491688733586579,0.673201898177731,141.814911,12.140459,101.688545,-229.6394300668799,-155.28671125327128,-1565.9273044489678,582.7941261994766,-1398.1863913928469,383.0994475138122
4004,0.687617,0.7492615144744841,0.6844649522550847,140.784546,11.077107,108.203621,-232.90200483504674,-155.46089228590264,-1569.363776220361,582.3560108422259,-1397.6524871187517,382.8309687187126
4005,0.687432,0.7492669935686106,0.6851310855684836,141.126343,10.96439,107.314598,-236.97790459685973,-155.78936910826596,-1572.4874434169444,583.5605526731958,-1396.872972240422,382.6536231296379
4006,0.6891,0.7492175928712966,0.679125083586058,141.27066,11.783125,102.514099,-239.47397859050483,-156.21310262484542,-1574.885849058593,584.4115055095513,-1395.5555615828237,382.14497690353
4007,0.690848,0.7491658228359821,0.6728310239545956,139.575348,12.815448,100.817596,-239.03959120597779,-156.8780155923946,-1574.3791444211665,584.6904173682432,-1394.2289370731403,381.9439389784739
4008,0.690985,0.749161765344656,0.6723377252306197,140.198624,12.944656,100.827538,-239.19637228937617,-158.04063763242647,-1573.9907630962211,585.0674431404547,-1393.8650762137554,381.13687003645146
4009,0.690884,0.7491647566338817,0.6727013980125287,140.447678,12.96816,100.872055,-239.3197564608977,-159.26267032067275,-1574.1457152682224,585.6712242988965,-1392.9645876417733,381.11585583319487
4010,0.688715,0.7492289953104249,0.6805113610220497,141.832993,12.049901,100.439133,-241.3134106125285,-159.37012311360806,-1577.1848593606476,586.7392640644981,-1394.4270719501937,382.4105631131648
4011,0.685924,0.7493116555899232,0.6905609722528343,141.03334,11.272484,106.692146,-242.38460707033363,-159.4579022124443,-1578.6920480186525,587.890473089322,-1394.367555572095,383.32886134613835
4012,0.687481,0.7492655423490853,0.6849546502584483,142.081085,12.042811,100.958511,-243.6738561919423,-159.12834227749698,-1580.0741566994673,588.4414858246905,-1394.050109476651,383.9551759908392
4013,0.687481,0.7492655423490853,0.6849546502584483,142.081085,12.042811,100.958511,-243.84580752154474,-159.2413637337161,-1582.2688065123202,589.6808681688088,-1393.9139494918581,384.3499759617018
4014,0.687481,0.7492655423490853,0.6849546502584483,142.081085,12.042811,100.958511,-244.74671579339494,-159.71467871837282,-1584.627575472688,589.972910220588,-1394.5544221919752,384.8096136997774
4015,0.683805,0.7493744134302159,0.6981908992317067,141.484238,10.806443,106.432907,-246.49623334922597,-160.8544042972826,-1586.6372066374672,590.8354494611783,-1394.486369710586,384.83298264196645
4016,0.683805,0.7493744134302159,0.6981908992317067,141.484238,10.806443,106.432907,-247.9968746988386,-162.0720294220291,-1588.600989631887,591.4552737355092,-1394.4279979799473,385.57311811551756
4017,0.683805,0.7493744134302159,0.6981908992317067,141.484238,10.806443,106.432907,-249.29150416679195,-162.5341950631818,-1591.0011404269396,592.695967900109,-1393.6716787181915,386.2116458987113
4018,0.684532,0.7493528820711348,0.6955731753460812,142.214706,11.75649,101.54908,-252.03264064165762,-163.16614225132133,-1594.7007948355067,594.0029211087839,-1393.1315470698837,387.2277406417332
4019,0.684532,0.7493528820711348,0.6955731753460812,142.214706,11.75649,101.54908,-253.9642103622271,-163.0333882372784,-1598.7192678586753,595.5963531326894,-1394.368815294472,387.77101620279456
4020,0.684532,0.7493528820711348,0.6955731753460812,142.214706,11.75649,101.54908,-255.98938150529744,-163.25421169283396,-1603.691385117064,596.7645396020107,-1396.6854136110483,388.13358667732746
4021,0.684532,0.7493528820711348,0.6955731753460812,142.214706,11.75649,101.54908,-257.6544105724277,-164.00247756982648,-1607.0533201887172,597.3452747493025,-1397.4967725138101,388.45153903234495
4022,0.684466,0.7493548367749854,0.695810822906537,142.066147,11.704187,101.176834,-259.22847815059987,-165.5383535506158,-1608.1447180905216,597.9657386016617,-1396.8936400010432,388.8408933624542
4023,0.683274,0.7493901399111954,0.700102881877191,142.226532,11.835952,99.755127,-260.94233891244096,-166.67520042722433,-1609.8676808960176,598.6214701116617,-1396.7965298713027,389.4015234980032
4024,0.683274,0.7493901399111954,0.700102881877191,142.226532,11.835952,99.755127,-263.53417221223214,-167.24886354423327,-1613.4371653791711,599.6318586934616,-1397.3571216555556,390.0046709849165
4025,0.683274,0.7493901399111954,0.700102881877191,142.226532,11.835952,99.755127,-265.6152127225271,-167.75679506105286,-1617.6667240933286,600.9541041883145,-1399.1363680570091,390.32489374091807
4026,0.683274,0.7493901399111954,0.700102881877191,142.226532,11.835952,99.755127,-267.7795469143134,-168.31348704755433,-1622.2675908774802,602.4454129837266,-1401.563891076458,391.5644863510992
4027,0.683274,0.7493901399111954,0.700102881877191,142.226532,11.835952,99.755127,-270.44087204359465,-169.23010956530325,-1627.1989112755343,604.7199067798052,-1403.825882768614,392.5601452909359
4028,0.683274,0.7493901399111954,0.700102881877191,142.226532,11.835952,99.755127,-274.27749470417626,-170.57021951194432,-1632.2152984393488,606.1135589107857,-1404.8935846232068,393.34090557609005
4029,0.681764,0.749434861165958,0.7055399700027678,142.268234,11.570571,101.293564,-276.44147903607734,-171.9726481344565,-1635.8477525317733,606.206127092134,-1404.4869901502282,392.99202559185005
4030,0.67909,0.7495140562886303,0.7151682969218363,141.42395,10.891619,103.88884,-278.5788772394524,-173.119123705669,-1637.4230792088485,606.8084959865495,-1403.1887610432075,393.304754270487
4031,0.67909,0.7495140562886303,0.7151682969218363,141.42395,10.891619,103.88884,-280.0722678264673,-174.24590131558446,-1639.2432709161144,607.449662001615,-1402.2372117445775,393.27319520490977
4032,0.67909,0.7495140562886303,0.7151682969218363,141.42395,10.891619,103.88884,-282.4381544019134,-175.25241565195108,-1641.901078461394,608.3319616434984,-1402.831867302635,393.657759948046
4033,0.67909,0.7495140562886303,0.7151682969218363,141.42395,10.891619,103.88884,-284.5531633653891,-175.74075622444886,-1645.8199660032988,610.0464502753379,-1404.0834918030193,394.3101281654032
4034,0.679761,0.7494941834661497,0.7127522133905368,142.253677,11.470839,101.231224,-286.8554775326707,-176.58788556677072,-1649.8385610870307,611.272495055205,-1405.2031699068107,395.2014259176132
4035,0.679761,0.7494941834661497,0.7127522133905368,142.253677,11.470839,101.231224,-289.53018669610395,-177.3461801739776,-1653.1288294588173,612.7791889517785,-1405.1823846577338,396.4084762377344
4036,0.674342,0.7496546764989701,0.732264518392193,140.833664,10.119718,106.915474,-291.72160016078396,-178.02533234693357,-1655.5653482958082,613.8224221943776,-1405.4699772935862,396.97920036501336
4037,0.677338,0.749565944790845,0.7214767594357503,141.492233,10.964803,103.269157,-293.685273258524,-178.43018689958723,-1657.8505131630227,613.8405100420498,-1405.1165298540677,397.3887538622162
4038,0.677338,0.749565944790845,0.7214767594357503,141.492233,10.964803,103.269157,-295.0389781024893,-178.79312887953986,-1660.8141339940382,614.4667438021809,-1406.2230494651542,397.8575780712771
4039,0.665114,0.7499279796373473,0.7654919682086323,138.48201,12.141963,96.832024,-295.64402339589645,-179.11862714332045,-1664.3855086655947,615.4343718184014,-1409.042417264043,398.7855363061942
4040,0.679539,0.7495007583791016,0.7135515733666149,140.355469,12.141963,96.832024,-297.605717064339,-179.5119973520961,-1669.717893418382,617.3159650854019,-1412.78800228602,400.6315396793663
4041,0.677311,0.7495667444424202,0.7215739788923003,142.364685,11.228113,100.38456,-299.56864656110747,-179.96623599594648,-1676.426422037286,619.3082208897265,-1417.4651998765828,402.49064386451226
4042,0.676893,0.7495791242334737,0.7230790801085196,141.572586,10.762644,103.973885,-303.3525545108365,-180.17182770118293,-1682.650849682595,620.4901342286087,-1420.9562973850561,404.5639195704412
4043,0.676064,0.7496036764985057,0.7260640774966673,142.164261,11.179981,97.461983,-305.538497763162,-180.2554559357138,-1688.9468213940277,622.2582676996576,-1425.9086946946536,406.2236229810657
4044,0.676064,0.7496036764985057,0.7260640774966673,142.164261,11.179981,97.461983,-306.69473962368033,-180.5323268614957,-1693.189166286288,624.0480621908049,-1429.549602939706,407.81515148576574
4045,0.676064,0.7496036764985057,0.7260640774966673,142.164261,11.179981,97.461983,-307.02788255474104,-180.27708924115979,-1696.1938519660914,625.2527187504325,-1432.0140009038187,408.9424917837337
4046,0.676637,0.7495867061150758,0.7240008645854386,142.966843,11.415643,97.952644,-306.42080245514325,-180.24918302988357,-1697.6850087266052,626.3350989249203,-1434.026830817422,409.9554035374364
4047,0.671844,0.749728659078041,0.741259118483379,143.474945,10.462296,108.37117,-305.87525103756695,-180.22410516432512,-1700.1320777846133,627.8109795968927,-1436.4394987830187,411.0669355120047
4048,0.671323,0.7497440893917703,0.7431350939227337,143.841415,10.581076,108.239746,-307.39643687811105,-180.70444527562228,-1703.1360721301307,629.0369017786998,-1438.607966454632,411.9653868678293
4049,0.671323,0.7497440893917703,0.7431350939227337,143.841415,10.581076,108.239746,-308.4622863388253,-181.3372621439468,-1706.5400080376048,630.1388910055861,-1440.858769944391,412.7730104916556
4050,0.675559,0.7496186329446349,0.7278824414062148,142.309723,11.429757,95.784706,-310.92749231061936,-181.70524277003688,-1711.509055652807,631.8328592031963,-1443.7864728001048,414.4032712401745
4051,0.674634,0.7496460284152676,0.7312131079732072,142.157883,11.157718,97.772224,-313.94734964892007,-181.9356804685521,-1717.2822506243065,633.2555122303356,-1446.017137559327,415.26654791463375
4052,0.675135,0.7496311904360384,0.7294091469461117,142.23378,11.48831,97.38604,-316.4620627178459,-182.44402231392493,-1721.0682499479842,634.1332587907705,-1447.2199428657684,415.64130110919444
4053,0.672783,0.7497008489732581,0.737878041827805,141.349472,10.419073,103.345879,-319.6265568408994,-183.40286229629518,-1724.272258963361,635.3239591362129,-1447.0975346691052,416.78102485091887
4054,0.673052,0.7496928820742309,0.7369094479829177,141.584991,10.679276,103.566216,-323.57592006719875,-184.36550563362246,-1727.9562443656291,636.4951273835484,-1447.2883619377997,417.6054312428233
4055,0.671763,0.7497310580327666,0.7415507768530292,142.265732,11.304882,112.350258,-328.0305289109197,-185.13105184579496,-1733.2751881301479,638.2504222705423,-1449.3652140913928,418.94856686957803
4056,0.672871,0.7496982427014574,0.737561178413864,142.265732,11.312302,96.136383,-332.43834143066186,-186.22063251537983,-1740.8663818731618,640.6312488636667,-1453.4387340503235,420.85841803201697
4057,0.672871,0.7496982427014574,0.737561178413864,142.265732,11.312302,96.136383,-337.90663887627807,-187.40118836386574,-1749.8997845718861,642.5724305495017,-1457.1029899113698,422.47616525155127
4058,0.672164,0.7497191817260382,0.7401068878872303,142.16832,11.182405,96.669411,-341.62339615655577,-189.2647905411542,-1756.2224304032327,644.4188742482681,-1458.8962715263804,423.53065420140064
4059,0.667921,0.7498448454902488,0.75538474544804,143.369263,10.493993,108.311882,-345.9688653938776,-190.74096418628355,-1761.309328571312,646.3805119065179,-1459.0068430719487,424.6796535449155
4060,0.667615,0.7498539082081013,0.7564865659556075,143.57811,10.594209,108.077309,-350.87992155113807,-192.26933962341758,-1767.9891991307586,648.4458009269439,-1460.9092355216978,425.51303602763863
4061,0.670623,0.7497648210992761,0.7456555983518092,142.240219,11.137298,98.249184,-357.2011304107414,-193.44411563960278,-1775.2007762331314,650.8046543301774,-1462.6208032905047,426.96384418981535
4062,0.668923,0.7498151695317904,0.7517768233938491,141.374496,10.648534,102.548248,-363.1888614200897,-195.10187577541885,-1781.4889362283734,652.4263133036729,-1464.1607403105324,428.1690386002284
4063,0.668923,0.7498151695317904,0.7517768233938491,141.374496,10.648534,102.548248,-368.77656328171213,-196.79368286966806,-1788.147893639233,654.3859924712154,-1466.7477163720055,428.8529410738453
4064,0.668923,0.7498151695317904,0.7517768233938491,141.374496,10.648534,102.548248,-374.1045605799828,-198.7163547617854,-1793.7390371305482,656.1492642610816,-1468.274564899141,429.6685123827249
4065,0.668923,0.7498151695317904,0.7517768233938491,141.374496,10.648534,102.548248,-378.198013790066,-201.04694501083296,-1798.6698423608996,657.5356618515361,-1468.247082163078,430.0019796073028
4066,0.668923,0.7498151695317904,0.7517768233938491,141.374496,10.648534,102.548248,-383.0824105718568,-202.74370888586054,-1802.3059834042378,658.9833399521605,-1466.9212343746885,429.90169545189406
4067,0.668347,0.7498322287653952,0.7538508384669167,141.308304,10.575239,102.843704,-387.27741457684175,-204.17044165212724,-1804.3769870970257,660.6863233065474,-1465.5280332208802,430.0116109322653
4068,0.668603,0.749824646883793,0.7529290539899982,142.178436,11.309319,98.130493,-392.25313721033444,-205.5543609696185,-1807.5414915108945,662.0186185179657,-1463.9741480861226,430.51079737194374
4069,0.667643,0.749853078939801,0.7563857457784442,142.024612,11.01858,98.88488,-398.13150675072916,-206.99983057319145,-1811.6899416905258,662.7171943789576,-1462.27566904664,430.7598737006836
4070,0.663069,0.7499885458399893,0.7728554418621449,143.251297,10.62496,109.070175,-403.5213955464534,-208.7008067318333,-1815.6231655485067,663.8461115610252,-1461.04740950078,430.984012727291
4071,0.663069,0.7499885458399893,0.7728554418621449,143.251297,10.62496,109.070175,-408.9720223418087,-209.73124903778262,-1818.5623407096575,665.0621175629727,-1459.5419044635582,431.08566304502426
4072,0.663069,0.7499885458399893,0.7728554418621449,143.251297,10.62496,109.070175,-413.977106309399,-211.15877619401658,-1821.5074518945257,665.7562228572511,-1458.0870494744947,430.87700142892277
4073,0.66634,0.749891669532487,0.7610774847371373,141.960922,11.152767,98.04937,-418.1811239430317,-212.34338556553348,-1823.6575906234852,666.3808573577178,-1456.2776006656857,430.7892652178218
4074,0.665575,0.7499143263271184,0.7638320360060553,141.272278,10.680121,102.923218,-421.2641522336951,-213.70955247500527,-1824.192029297292,666.7429055756177,-1454.4491640986416,430.41019844569894
4075,0.666162,0.7498969413095384,0.7617184130062449,142.041183,11.4081,98.521797,-423.63852765273333,-214.53887338277235,-1824.1728199710562,666.9686902019965,-1451.803366665652,429.66893176700705
4076,0.661502,0.7500349552480774,0.778497771062661,143.266708,10.661477,108.672104,-426.07540519693094,-215.78535960478976,-1823.055203034579,666.4716722301464,-1448.6220765961252,428.80177871262396
