,X,Y,Z,R_x,R_y,R_z, Fx, Fy, Fz, Tx, Ty, Tz
1500,0.423028,0.013893920703032081,0.17220925865733516,143.878189,2.932444,97.417114,-42.0,-219.0,2.0,75.0,59.0,-129.0
1501,0.423028,0.013893920703032081,0.17220925865733516,143.878189,2.932444,97.417114,-42.0,-221.50125062531265,0.4992496248124062,78.50175087543772,59.50025012506253,-129.0
1502,0.423028,0.013893920703032081,0.17220925865733516,143.878189,2.932444,97.417114,-42.66733377800008,-219.33199855455504,-1.002001000333333,79.00166699977744,59.33333322211104,-130.6683344450002
1503,0.422826,0.013636497328892827,0.17551833043064136,145.720184,2.408659,104.379959,-41.49874862406216,-219.74962493796943,-1.0014999992492495,79.25162493684323,58.749124187093734,-130.25062468671806
1504,0.425949,0.017616364642935367,0.1243587702918525,142.710495,4.230843,101.672531,-41.59919960040089,-220.80180220160028,-0.8007989985994405,78.59999799819968,59.20020060080057,-130.20039939919977
1505,0.425949,0.017616364642935367,0.1243587702918525,142.710495,4.230843,101.672531,-42.00033450147285,-221.16908548618528,-1.3353337218610795,78.4997480408557,59.500917959089826,-129.66566444305633
1506,0.425949,0.017616364642935367,0.1243587702918525,142.710495,4.230843,101.672531,-41.71371399999971,-221.28814414085306,-1.5738575702845716,78.14156842814643,59.28585699914157,-129.1404249992896
1507,0.425949,0.017616364642935367,0.1243587702918525,142.710495,4.230843,101.672531,-41.74962518809373,-220.87568540126293,-2.6308173437286433,78.12381034549016,59.249999624124435,-128.99737218966365
1508,0.425949,0.017616364642935367,0.1243587702918525,142.710495,4.230843,101.672531,-41.33133088822482,-220.88955347751954,-2.6720019936555555,77.66377333519475,58.99899799855744,-128.4398838551236
1509,0.425533,0.017086225416985457,0.13117349235965214,141.458771,3.347524,97.7547,-40.59489264913866,-221.50335287433478,-2.5040480133033745,77.89844923202251,59.09954947584079,-127.792992206323
1510,0.425533,0.017086225416985457,0.13117349235965214,141.458771,3.347524,97.7547,-40.26644691466374,-221.54872881344747,-2.4579958954523127,78.09045646364044,59.27318327500035,-127.72054083348408
1511,0.425533,0.017086225416985457,0.13117349235965214,141.458771,3.347524,97.7547,-39.908949978010824,-221.58654202664783,-2.5872045214373993,78.16666953613489,59.417877842094725,-127.99533544111841
1512,0.425533,0.017086225416985457,0.13117349235965214,141.458771,3.347524,97.7547,-39.683838868515494,-221.6959234512208,-2.6965346783920703,78.38592877713556,59.695082847134124,-128.1504677969262
1513,0.425533,0.017086225416985457,0.13117349235965214,141.458771,3.347524,97.7547,-39.34709887056023,-222.22104286526258,-3.0059280935541337,78.57386486182014,59.93268662184534,-128.13965006236023
1514,0.424037,0.015179763200588559,0.15568028133423617,141.658417,2.817899,98.022545,-39.390931112619256,-222.40760698088295,-3.2740684270755693,78.87101157824432,60.4071477258782,-128.13027471430075
1515,0.424037,0.015179763200588559,0.15568028133423617,141.658417,2.817899,98.022545,-39.05146375573953,-222.69679033110296,-3.6346307893333156,79.31992454081114,60.69635999542204,-128.1220713052777
1516,0.425521,0.017070932939313832,0.13137007088083852,140.561249,3.219223,94.833496,-38.75193453450502,-223.07054248982277,-3.834182140699991,79.59743209612456,61.129433201235486,-128.29271961285374
1517,0.425521,0.017070932939313832,0.13137007088083852,140.561249,3.219223,94.833496,-38.48568709297234,-223.62688278422192,-4.123619164395371,79.9001340529105,61.51438607017077,-128.38837729326917
1518,0.424928,0.016315229667707265,0.14108432613613875,139.399261,1.970716,101.215118,-38.40678694194851,-224.07155260466402,-4.595015726825669,80.17097183250083,62.230564450359736,-128.7394997015752
1519,0.424928,0.016315229667707265,0.14108432613613875,139.399261,1.970716,101.215118,-37.982440387871115,-224.5222308378148,-4.716411308274213,80.06138841823301,62.6732162961113,-129.0050322040371
1520,0.424928,0.016315229667707265,0.14108432613613875,139.399261,1.970716,101.215118,-37.79089701232127,-225.3147618538392,-4.681954084335129,80.25082376035364,63.266097426863865,-129.43766303508437
1521,0.424928,0.016315229667707265,0.14108432613613875,139.399261,1.970716,101.215118,-37.52489998371726,-226.12710936874473,-4.604695796417111,80.23930250987804,63.80507838469167,-130.01469700717539
1522,0.424928,0.016315229667707265,0.14108432613613875,139.399261,1.970716,101.215118,-37.01828340857081,-226.78089837557164,-4.666031186564125,80.05294940298788,64.2092727554948,-130.3657184355129
1523,0.424928,0.016315229667707265,0.14108432613613875,139.399261,1.970716,101.215118,-36.89106931003674,-227.46449832722797,-4.848698570982177,80.13501336218926,64.66407850204556,-130.5188955201208
1524,0.424928,0.016315229667707265,0.14108432613613875,139.399261,1.970716,101.215118,-36.85499697003432,-228.0934077646153,-5.016751891765802,80.45340438847415,65.08249811353136,-130.82174619778658
1525,0.424928,0.016315229667707265,0.14108432613613875,139.399261,1.970716,101.215118,-36.66592167544619,-228.7128816039115,-5.24976633145354,80.63046915492576,65.46872999015991,-131.21813292015204
1526,0.424928,0.016315229667707265,0.14108432613613875,139.399261,1.970716,101.215118,-36.6034150172063,-229.24894523762228,-5.390477973359994,80.86945883466258,65.97643361303899,-131.39755223842738
1527,0.424928,0.016315229667707265,0.14108432613613875,139.399261,1.970716,101.215118,-36.36437958139548,-229.67431884946444,-5.6297344753400145,80.9103830230491,66.3030755276021,-131.4917576205276
1528,0.424928,0.016315229667707265,0.14108432613613875,139.399261,1.970716,101.215118,-36.10686245543734,-230.0353865679405,-5.817521556146685,80.7736450145908,66.64215692518154,-131.71933739884793
1529,0.424928,0.016315229667707265,0.14108432613613875,139.399261,1.970716,101.215118,-35.83269513560761,-230.44001980496628,-5.958969485169804,80.84893848141529,67.02626969531755,-131.89792499919778
1530,0.424928,0.016315229667707265,0.14108432613613875,139.399261,1.970716,101.215118,-35.576217313617036,-230.88403481211844,-6.058546561712056,80.98486298745097,67.41834371536802,-132.09773450010815
1531,0.424928,0.016315229667707265,0.14108432613613875,139.399261,1.970716,101.215118,-35.43098172008513,-231.30029672851336,-6.247110709219706,80.95360635107917,67.7224371274917,-132.31679197878353
1532,0.424859,0.01622729792109534,0.14221465263296107,139.522339,1.908252,100.964264,-35.079014618984814,-231.7221191900021,-6.331873898161171,81.10898797858198,67.9773084832295,-132.5225721480532
1533,0.42446,0.015718823038513574,0.1487508884624118,139.347656,1.832256,101.048645,-34.68795350660564,-232.0593265976944,-6.471450360095965,80.9861296856243,68.2470859767175,-132.74614642629223
1534,0.423437,0.014415139317006886,0.16550920739356112,138.816315,1.606727,100.178185,-34.46454112764061,-232.46444338287102,-6.661170394821594,80.9574726992307,68.64674646334805,-133.07318406995978
1535,0.423437,0.014415139317006886,0.16550920739356112,138.816315,1.606727,100.178185,-34.33834244357392,-232.81878455789814,-6.840349381379442,80.93040792566985,68.99593449761564,-133.3255173761314
1536,0.423437,0.014415139317006886,0.16550920739356112,138.816315,1.606727,100.178185,-34.21896602695938,-233.20900333493927,-7.037358595423622,80.98735605479999,69.32624551919105,-133.5366930145057
1537,0.423437,0.014415139317006886,0.16550920739356112,138.816315,1.606727,100.178185,-34.05226168261067,-233.68590518992642,-7.1167745611563875,80.98769498583538,69.6659756161237,-133.87078189848202
1538,0.423437,0.014415139317006886,0.16550920739356112,138.816315,1.606727,100.178185,-33.73731855442014,-234.00769039858275,-7.192117435622685,80.90962217015168,69.96215015899776,-134.0832101916985
1539,0.423437,0.014415139317006886,0.16550920739356112,138.816315,1.606727,100.178185,-33.3616520308206,-234.46632935481702,-7.212711035015655,80.93741680913139,70.26900497689991,-134.2850157572341
1540,0.422441,0.013145863670261382,0.18182522465204176,138.374527,2.237391,105.027283,-33.22824627332758,-234.80306690766514,-7.306944332945915,80.88921104055183,70.63553371438343,-134.576501727965
1541,0.422441,0.013145863670261382,0.18182522465204176,138.374527,2.237391,105.027283,-33.125495158701725,-235.31817609504296,-7.445291954537146,81.01340892976029,70.88740183996238,-134.805503278143
1542,0.422441,0.013145863670261382,0.18182522465204176,138.374527,2.237391,105.027283,-33.02752385215414,-235.833071043307,-7.648447186116885,81.10808157408482,71.1987967936718,-134.97635652525102
1543,0.422441,0.013145863670261382,0.18182522465204176,138.374527,2.237391,105.027283,-32.91078688209502,-236.3245581499872,-7.865586273457627,81.2216698437005,71.54247445017776,-135.20910127248752
1544,0.422441,0.013145863670261382,0.18182522465204176,138.374527,2.237391,105.027283,-32.75380931861344,-236.7260533548624,-7.982213767612768,81.3302089490504,71.87087513355924,-135.3179258711856
1545,0.422441,0.013145863670261382,0.18182522465204176,138.374527,2.237391,105.027283,-32.60365799381582,-237.1323214575887,-8.13823385201689,81.5674207485009,72.02937050896072,-135.37755399579626
1546,0.422441,0.013145863670261382,0.18182522465204176,138.374527,2.237391,105.027283,-32.32927794540068,-237.52129857089486,-8.265843763383177,81.7945366859157,72.26819973237926,-135.52172381190454
1547,0.422441,0.013145863670261382,0.18182522465204176,138.374527,2.237391,105.027283,-32.25827471173096,-237.8300846313153,-8.494770220114956,81.96953391913354,72.51840286033352,-135.65988546902776
1548,0.422441,0.013145863670261382,0.18182522465204176,138.374527,2.237391,105.027283,-32.29468032806909,-238.12626480733417,-8.839763237662703,82.36730953365903,72.80019577934183,-135.77150477094963
1549,0.422441,0.013145863670261382,0.18182522465204176,138.374527,2.237391,105.027283,-32.24765276642049,-238.5745487873184,-9.027494658805418,82.56472349986885,73.0707147702197,-135.89915259177212
1550,0.422441,0.013145863670261382,0.18182522465204176,138.374527,2.237391,105.027283,-32.30298124737717,-239.10576085836627,-9.187760269396156,82.9554170550301,73.43113445284554,-136.10220275079791
1551,0.422441,0.013145863670261382,0.18182522465204176,138.374527,2.237391,105.027283,-32.29700479455455,-239.6165373501367,-9.322135019380696,83.29162976368328,73.69878694124543,-136.21853967700162
1552,0.421846,0.01238761165237623,0.19157224299420594,138.455048,2.006594,105.182961,-32.42679427177861,-240.03058336292682,-9.586978256018204,83.61515239375704,73.95633710149903,-136.31112265172692
1553,0.421846,0.01238761165237623,0.19157224299420594,138.455048,2.006594,105.182961,-32.45670682752882,-240.52435961165375,-9.708913910715468,84.04077250813249,74.20434617408196,-136.40027583911373
1554,0.422271,0.01292922023657983,0.18461008703551673,138.25,1.911067,104.659233,-32.560240638917485,-240.90678951822213,-9.975832972304195,84.39487989919853,74.48068920428503,-136.50486362963164
1555,0.422271,0.01292922023657983,0.18461008703551673,138.25,1.911067,104.659233,-32.531605727275426,-241.27555783023723,-10.14145244088856,84.68127882004717,74.6737488693503,-136.55065657189851
1556,0.422271,0.01292922023657983,0.18461008703551673,138.25,1.911067,104.659233,-32.594174999378176,-241.6674632557795,-10.409498237350862,85.06586510450765,74.86003277077292,-136.5587626547166
1557,0.422271,0.01292922023657983,0.18461008703551673,138.25,1.911067,104.659233,-32.56589817260498,-242.04585110302608,-10.490922687737479,85.2952855207377,74.96894100845174,-136.58432673567853
1558,0.422271,0.01292922023657983,0.18461008703551673,138.25,1.911067,104.659233,-32.503688955869684,-242.44629989729523,-10.639368607703073,85.58670921071442,75.0916020188093,-136.67880638023374
1559,0.422271,0.01292922023657983,0.18461008703551673,138.25,1.911067,104.659233,-32.495043974014955,-242.78190658592894,-10.731374915517202,85.78259933422488,75.22733649591206,-136.752972470235
1560,0.422271,0.01292922023657983,0.18461008703551673,138.25,1.911067,104.659233,-32.53735350816939,-243.0727258673135,-10.955486373111986,86.12407790514958,75.32483868802828,-136.82470616713883
1561,0.422271,0.01292922023657983,0.18461008703551673,138.25,1.911067,104.659233,-32.594923937298965,-243.3874132882335,-11.072609409918055,86.40465926950485,75.45244695858416,-136.81099449080688
