,X,Y,Z,R_x,R_y,R_z, Fx, Fy, Fz, Tx, Ty, Tz
9200,0.696943,0.7458405976072067,0.6766726960917997,139.643463,7.842363,94.568726,-87.0,-224.0,-1161.0,454.0,-710.0,206.0
9201,0.696943,0.7458405976072067,0.6766726960917997,139.643463,7.842363,94.568726,-91.50225112556278,-224.0,-1170.0045022511254,451.99899949974986,-721.0055027513756,207.50075037518758
9202,0.697276,0.7458079757724309,0.674897014035996,140.001541,8.33847,102.116753,-103.01300767000079,-224.66733377800006,-1174.6743364449994,451.66566644455565,-718.667998442443,210.00300166733342
9203,0.69788,0.7457488058378825,0.6716762573942385,139.703522,8.33847,102.116753,-108.01725712368273,-225.00100049999972,-1182.2671339390913,452.75087656365656,-723.2578790640315,210.25262543659258
9204,0.69788,0.7457488058378825,0.6716762573942385,139.703522,8.33847,102.116753,-110.01780279119002,-226.20320240059917,-1182.4140005909906,453.80280300099884,-724.2082019973963,211.0036007987986
9205,0.69788,0.7457488058378825,0.6716762573942385,139.703522,8.33847,102.116753,-113.18942080689678,-227.0046696657742,-1181.1752410530835,454.838254346947,-724.5075824517795,211.0029991635814
9206,0.693602,0.7461678935531109,0.6944881728138395,141.356552,8.224165,102.116753,-116.17129140897946,-226.86071428070883,-1182.0098491294307,455.57786171084814,-725.4378568494234,211.86228714056898
9207,0.693165,0.7462107035885375,0.6968184222384224,141.576752,8.184754,102.801025,-116.90243386986528,-227.12906233772958,-1182.7612426122569,456.38344289912595,-726.2609999894303,212.13043790094832
9208,0.694388,0.7460908942674238,0.6902969232767178,141.61058,7.963192,101.881615,-116.91331798602313,-226.89155202796164,-1184.126553062226,457.2331178026438,-727.6821156538364,212.45055562177134
9209,0.691869,0.7463376642428002,0.7037291848339824,140.549667,7.963192,101.881615,-116.52022196422989,-227.20379819250127,-1185.8215047346607,457.61150422859566,-729.5221622561987,212.4052969376707
9210,0.691869,0.7463376642428002,0.7037291848339824,140.549667,7.963192,101.881615,-114.91949484026867,-227.45927190090924,-1187.3910101539534,458.1951862437823,-731.3931106028294,212.6423608047253
9211,0.691869,0.7463376642428002,0.7037291848339824,140.549667,7.963192,101.881615,-114.75865526133038,-228.00733690808602,-1188.866514256882,458.68158703047817,-731.7791341207422,212.7561210045118
9212,0.690938,0.7464288682313177,0.7086936292602672,140.934402,7.932094,102.525787,-115.31903174105064,-229.09016883617886,-1189.6507010720325,458.55145625304806,-730.7902119728692,213.00715082807798
9213,0.690664,0.7464557102214936,0.7101547009818598,141.211594,7.82023,102.998985,-115.7274593777829,-229.65883838368103,-1190.5385417968077,459.0150679760643,-730.7334004587249,213.22231878161455
9214,0.693208,0.7462064911594223,0.6965891299609464,141.186035,8.463165,103.213699,-115.81289085594689,-229.3460692329788,-1190.7709253339135,459.14832555063543,-730.4156256145503,213.8787392878986
9215,0.690113,0.7465096880922488,0.7130928415606816,140.797638,7.876186,102.264839,-115.13200226686719,-229.13536698976205,-1190.9742604200358,459.3278957153777,-730.8302441883442,214.32716563597967
9216,0.690049,0.7465159577541878,0.7134341137876223,141.607056,7.735797,103.015411,-114.17544664069686,-229.18663586245583,-1191.272264312631,459.3677484952244,-731.7297429008551,214.48565276649393
9217,0.690641,0.7464579633812529,0.7102773456884166,140.918121,8.030234,103.569778,-112.87694319338343,-229.3442666122656,-1191.9293608275473,459.6272901835046,-733.4817927004182,214.5144712685137
9218,0.694229,0.7461064704588033,0.6911447714655252,141.287766,7.848166,103.015884,-111.98066202282115,-228.5824878989771,-1192.3048601511805,459.9657246824855,-734.7838772833167,214.96511090965902
9219,0.689677,0.7465524001642077,0.7154177586067183,141.299469,7.848166,103.015884,-110.21495492316083,-228.25022587348798,-1193.0466217777796,460.32079142939256,-736.9652829597118,215.11830198448777
9220,0.688727,0.7466454654586132,0.720483518225377,140.972534,7.681006,102.892769,-108.6655127198421,-228.3343847333827,-1194.102513080563,460.64204122374275,-739.0351230991484,215.44929091062974
9221,0.689189,0.7466002063364917,0.7180199593371448,141.575302,6.262249,96.048782,-108.08373950887739,-228.31902522253299,-1195.2920791450647,460.70441722502244,-740.365585577261,215.75018888020412
9222,0.688158,0.7467012066717887,0.7235176416180256,140.716599,7.706079,102.539238,-106.93713912226497,-228.39291824423998,-1196.81778505304,460.5855352742685,-741.8880602574612,216.02492080059358
9223,0.688935,0.7466250890573117,0.7193743834878181,141.211349,7.893699,102.949654,-106.34971894013486,-228.3763575925475,-1197.7527172962991,460.4765605708957,-743.2415088617001,216.06601827374655
9224,0.691087,0.7464142716746162,0.7078991048569199,139.766342,7.70645,94.772026,-105.48543788826828,-227.7134085576905,-1198.3699590300293,460.6191967313301,-744.4866765919817,216.54913068886754
9225,0.688425,0.7466750504258873,0.722093896546256,140.643661,7.655367,101.885956,-103.98664282186768,-227.4130139324569,-1199.5628298094323,460.82874927470425,-747.0770028671631,216.87824533392092
9226,0.688425,0.7466750504258873,0.722093896546256,140.643661,7.655367,101.885956,-101.84846030128101,-227.17239273395043,-1200.067002734962,460.9852577993017,-749.2127973527109,217.1829797945521
9227,0.687776,0.7467386287164866,0.7255546102225812,139.634644,7.640014,100.472908,-100.15260412746743,-226.73176720996946,-1200.1731735992275,460.94959268862357,-750.6168459948937,217.5745425135765
9228,0.687393,0.7467761487246521,0.7275969112056826,139.114273,6.877707,96.708038,-98.36390333406214,-226.14669190844685,-1199.7824708222586,461.0212911924871,-751.9939934542917,218.11393886524314
9229,0.687216,0.7467934882584519,0.7285407422083168,139.084763,6.849133,96.502914,-97.03264898819646,-225.76972009446757,-1199.620731651931,460.98675197703244,-753.0425907087769,218.2115430432504
9230,0.687329,0.7467824183865911,0.7279381834326242,141.023529,7.859809,102.097023,-95.4598430786537,-225.02413659912438,-1199.6004060935668,460.8889522250144,-754.1217651700728,218.401083272667
9231,0.686772,0.746836984038153,0.7309083182827214,140.778717,7.561818,102.363098,-94.1757674063182,-224.42036680825706,-1200.2795658688456,460.73379135098065,-755.6095416003994,218.6105133591076
9232,0.686241,0.7468890026395524,0.7337398112906244,139.591782,7.690555,100.174599,-92.78477717614003,-223.91477340901722,-1201.1946766879105,460.83435996511497,-757.3766298320455,218.93041217309047
9233,0.686241,0.7468890026395524,0.7337398112906244,139.591782,7.690555,100.174599,-91.71481623669516,-223.1100246159785,-1201.6373542421627,460.86921247518205,-758.9500628676773,219.41089109861628
9234,0.686241,0.7468890026395524,0.7337398112906244,139.591782,7.690555,100.174599,-90.58976141043973,-222.67092641607712,-1201.793193041822,460.9311332853924,-760.0267362096954,219.92203163298043
9235,0.685514,0.7469602220806396,0.737616450493535,140.68222,7.497171,102.233658,-89.27281384228381,-222.28449187009429,-1201.45983617484,460.96134682111074,-760.9587877645479,220.20690443616942
9236,0.685514,0.7469602220806396,0.737616450493535,140.68222,7.497171,102.233658,-87.7794107464363,-221.89143127730102,-1201.3646332603632,460.87986063682376,-761.9230026472835,220.55892687922935
9237,0.685663,0.7469456255239381,0.7368219260901872,140.385849,7.543696,101.940727,-86.6326745222483,-221.65308937046655,-1201.0599952018467,460.8562752707124,-762.4343767763655,220.75839077893093
9238,0.689468,0.7465728745289768,0.7165322257228235,139.061981,7.848429,101.884254,-85.85832963525053,-220.9043424683247,-1200.5357983492784,460.7555051888053,-762.4752887884513,221.07828183371382
9239,0.684791,0.7470310496678556,0.7414717601822609,140.569611,7.466771,101.884254,-84.96976178186489,-220.19303753929725,-1200.5476312359554,460.73624673233695,-763.0749532692653,221.48413968982064
9240,0.684791,0.7470310496678556,0.7414717601822609,140.569611,7.466771,101.884254,-84.42312192243291,-219.79013104207866,-1200.8077014838098,460.54375757982433,-763.8444137379614,221.62138237522342
9241,0.682925,0.7472138494987617,0.7514219785490157,140.124725,7.12931,101.415642,-83.44079483794214,-219.0661975312203,-1200.9581812651434,460.6763503745909,-764.9903472375839,222.09230446257078
9242,0.682872,0.7472190415625548,0.7517045946119509,140.175003,6.929532,101.764313,-82.1241996421259,-218.75590448893118,-1201.1254087506659,460.6602885620488,-766.2967037709313,222.35133789785942
9243,0.688463,0.7466713278141112,0.7218912661615091,139.174072,7.737472,99.554832,-80.61204336652918,-218.45971780057496,-1201.1689359638592,460.691396093036,-767.4043540630784,222.5289365856165
9244,0.687795,0.7467367674105985,0.7254532950302082,139.043106,7.646893,99.554832,-79.16710464303395,-218.08583759850666,-1200.9833797188583,460.56211682184215,-768.1447596299963,222.81221505769415
9245,0.684173,0.7470915910909531,0.7447671701236618,139.927689,7.536579,99.554832,-77.78499971814986,-217.50589480043615,-1200.5835715274006,460.37176303433904,-768.8085041454585,223.03871085194535
9246,0.683595,0.7471482139753388,0.747849284923225,140.227509,6.871833,99.981209,-76.20047943393071,-216.95063468042585,-1199.8524614015814,460.1024313100088,-769.3133800916727,223.14671749234392
9247,0.68275,0.7472309931056259,0.7523551447945582,140.527557,7.225037,101.310181,-74.618011984215,-216.41851457105813,-1198.959877440349,460.07891984920764,-770.0957925812944,223.35685762836695
