,X,Y,Z,R_x,R_y,R_z, Fx, Fy, Fz, Tx, Ty, Tz
6700,0.776933,0.7508900309112136,0.5698476268960593,138.419403,19.342949,116.0634,-98.0,-143.0,-880.0,382.0,-696.0,125.0
6701,0.776693,0.7508951005059964,0.570370510535307,138.420609,19.309683,116.007172,-103.50275137568784,-141.4992496248124,-896.5082541270634,385.50175087543766,-700.0020010005003,129.00200100050023
6702,0.776794,0.7508929670515253,0.5701504636704569,138.302139,19.386528,115.469337,-102.33399922122149,-142.0000003336669,-908.350674557666,387.6700014447776,-701.6696677778887,132.67166911188883
6703,0.775936,0.7509110908528737,0.5720197726807672,138.021317,19.24826,115.41819,-101.24887281115615,-143.00150150075,-921.5327658764319,390.0060027501239,-703.7553773125303,136.7598800631546
6704,0.775214,0.7509263418838452,0.5735927809621704,137.668472,19.131132,115.488846,-101.39939900040153,-143.40200139979873,-935.6544277957793,391.2072021977966,-706.0088041991968,140.81600819859364
6705,0.774324,0.7509451416311647,0.5755318077910467,137.467087,18.968712,115.619316,-102.8364202670214,-144.33733638852485,-950.7497110915009,393.51175553876425,-710.1844286521498,144.52259428468574
6706,0.773711,0.7509580902211723,0.5768673397529582,137.452759,18.854353,115.776062,-102.4300001414256,-144.43228699628028,-964.8276300875987,395.7310085642704,-715.1730225655414,148.60301598454012
6707,0.77259,0.7509817694534702,0.5793096420846107,137.873535,18.959002,115.177574,-104.13219590844389,-144.0017472426215,-979.5255161712427,398.90070426854425,-721.4232267627551,152.41595762495916
6708,0.77259,0.7509817694534702,0.5793096420846107,137.873535,18.959002,115.177574,-104.5636738091271,-143.55532714004164,-994.5269915832373,402.2584702325972,-728.7387287324017,156.72025050271887
6709,0.77259,0.7509817694534702,0.5793096420846107,137.873535,18.959002,115.177574,-104.80840478597166,-143.29864241962835,-1010.5461869095377,405.1455806213187,-737.8055479339129,161.36908953955287
6710,0.77259,0.7509817694534702,0.5793096420846107,137.873535,18.959002,115.177574,-104.55181615797679,-142.35771163149485,-1026.5764448702946,408.0559451830004,-747.964778554369,165.90359513674954
6711,0.77259,0.7509817694534702,0.5793096420846107,137.873535,18.959002,115.177574,-103.91902939263261,-141.15464077926796,-1040.8566879181963,410.9002078346575,-758.2742270596465,169.7661355266663
6712,0.77225,0.7509889513794124,0.5800503939068782,137.851227,18.99272,115.068184,-102.22281011662763,-139.67234563139678,-1053.0947176922057,413.30688679866006,-767.5392889498542,173.4213608546092
6713,0.772717,0.7509790867928976,0.5790329494921755,137.920944,19.282866,114.991455,-98.89966655402826,-138.3299156703658,-1063.009282600598,415.72922010025843,-776.1277995122406,176.77008639596184
6714,0.770815,0.751019263331551,0.5831768023332127,137.317139,18.597733,117.465309,-95.88534636981512,-136.8308061962238,-1073.0117115980827,417.6943015681415,-784.4439074669365,180.0751158902267
6715,0.77088,0.7510178903162974,0.5830351880142497,137.683716,18.743633,116.97657,-93.31079288780458,-135.64502884648496,-1082.141635541481,419.60265378599394,-792.5390947418821,183.28185985467542
6716,0.77088,0.7510178903162974,0.5830351880142497,137.683716,18.743633,116.97657,-90.09040563275803,-134.53946197709246,-1090.3160203423236,421.3457850136184,-800.3341388080715,185.9927412102944
6717,0.772299,0.7509879163371442,0.5799436384971985,138.600189,19.612028,111.797188,-87.05975948083531,-133.33262156257302,-1097.9182952008073,422.8392013253659,-807.2070179415284,188.79461160942193
6718,0.771226,0.7510105816504855,0.5822813641010012,138.128448,19.321865,114.767258,-84.1888163276466,-132.2528202237946,-1105.1451649171995,424.33473243611616,-813.3033108040912,191.2484339111542
6719,0.772048,0.7509932182883545,0.5804904876365782,138.750504,20.108755,111.398697,-81.70592900673337,-131.0790954461019,-1112.00266368816,425.7311828326147,-819.0928169686294,193.9111569522593
