,X,Y,Z,R_x,R_y,R_z, Fx, Fy, Fz, Tx, Ty, Tz
15000,0.821725,0.7406180332481412,0.6889598606693217,140.562286,17.446909,106.057388,60.0,-124.0,-1190.0,442.0,-760.0,218.0
15001,0.821725,0.7406180332481412,0.6889598606693217,140.562286,17.446909,106.057388,57.89473684210527,-124.5263157894737,-1188.9473684210527,443.05263157894734,-758.421052631579,217.47368421052636
15002,0.821725,0.7406180332481412,0.6889598606693217,140.562286,17.446909,106.057388,57.564575645756456,-125.80811808118084,-1190.4428044280444,444.8782287822878,-763.0627306273063,216.92988929889304
15003,0.821725,0.7406180332481412,0.6889598606693217,140.562286,17.446909,106.057388,58.2727537074731,-125.28234952020938,-1192.6403024134922,445.20441988950273,-768.860133759814,219.56731608025592
15004,0.821725,0.7406180332481412,0.6889598606693217,140.562286,17.446909,106.057388,57.71776025005494,-124.23662425825987,-1195.9026641596054,446.8638616883592,-773.045591072257,219.917169299895
15005,0.828371,0.740229172126482,0.6754236490807477,128.149033,21.349632,85.444252,55.857213285840196,-123.7592832492813,-1199.7650029131871,448.3868584319157,-777.3042669119577,221.00194852729322
15006,0.828364,0.7402295817003386,0.6754379063002962,126.714424,21.744913,83.494507,55.117863014423335,-123.4220640053701,-1202.4935657848305,449.4627848674849,-779.5461039046921,221.3849348412919
15007,0.827132,0.7403016666991175,0.6779471769408505,127.900154,21.290331,85.667938,53.8680907204658,-124.05028700805795,-1205.742972059607,450.43502303001725,-780.5037127010721,221.66851204475864
15008,0.825818,0.7403785495630748,0.6806234607246882,128.204514,21.006193,86.614555,51.604206527240514,-125.02154263856859,-1208.5600803093134,451.9964492282864,-781.7274374852541,222.70209019119477
15009,0.824616,0.740448879245325,0.6830716289957486,128.36412,20.671503,87.486122,49.3619643804455,-126.2465070574735,-1211.8518367950005,453.2252663386769,-782.8440230495125,223.66903343345012
15010,0.824379,0.7404627462459017,0.6835543377147513,128.659134,20.945093,87.252625,47.99762323394866,-126.9392447936496,-1214.7880761321562,454.5040289676717,-785.1984716694459,224.44592776265037
