Start Time: 3/5/24 6:31 PM
RDT Sample Rate: 100
"PLEASE NOTE: The sample rate is read from the Net F/T when the program starts.  If you have changed the sample rate since the program started, this will be incorrect."
Force Units: N
Counts per Unit Force: 0.224809
Torque Units: Nm
Counts per Unit Torque: 8.85075
Status (hex), RDT Sequence, F/T Sequence, Fx, Fy, Fz, Tx, Ty, Tz, Time
"0x0","1","101356691","-1","7","10","-1","0","5","Mar 5, 2024 6:31:27 PM"
"0x0","2","101356761","-1","5","10","-1","-2","6","Mar 5, 2024 6:31:27 PM"
"0x0","3","101356831","-5","6","5","-1","1","4","Mar 5, 2024 6:31:27 PM"
"0x0","4","101356901","-1","8","10","0","0","5","Mar 5, 2024 6:31:27 PM"
"0x0","5","101356971","-3","5","6","-3","-2","5","Mar 5, 2024 6:31:27 PM"
"0x0","6","101357041","-5","5","8","-4","2","3","Mar 5, 2024 6:31:27 PM"
"0x0","7","101357111","3","5","11","-6","-2","3","Mar 5, 2024 6:31:27 PM"
"0x0","8","101357181","5","4","6","-1","-3","5","Mar 5, 2024 6:31:27 PM"
"0x0","9","101357251","-10","2","8","0","3","5","Mar 5, 2024 6:31:27 PM"
"0x0","10","101357321","-7","7","11","-2","1","1","Mar 5, 2024 6:31:27 PM"
"0x0","11","101357391","-8","8","5","-9","-5","1","Mar 5, 2024 6:31:27 PM"
"0x0","12","101357461","-9","6","6","0","-1","7","Mar 5, 2024 6:31:27 PM"
"0x0","13","101357531","-2","4","9","0","0","6","Mar 5, 2024 6:31:27 PM"
"0x0","14","101357601","-3","8","10","-2","-4","5","Mar 5, 2024 6:31:27 PM"
"0x0","15","101357671","-5","8","6","-3","-5","5","Mar 5, 2024 6:31:27 PM"
"0x0","16","101357741","-7","4","6","-6","-2","1","Mar 5, 2024 6:31:27 PM"
"0x0","17","101357811","1","4","9","-1","0","6","Mar 5, 2024 6:31:27 PM"
"0x0","18","101357881","-1","3","9","0","0","2","Mar 5, 2024 6:31:27 PM"
"0x0","19","101357951","-4","9","0","-4","-3","1","Mar 5, 2024 6:31:27 PM"
"0x0","20","101358021","1","5","10","-2","-5","5","Mar 5, 2024 6:31:27 PM"
"0x0","21","101358091","-10","10","8","0","-2","3","Mar 5, 2024 6:31:28 PM"
"0x0","22","101358161","-2","4","5","-5","-5","0","Mar 5, 2024 6:31:28 PM"
"0x0","23","101358231","-1","4","10","0","-2","7","Mar 5, 2024 6:31:28 PM"
"0x0","24","101358301","-5","5","4","-3","-5","1","Mar 5, 2024 6:31:28 PM"
"0x0","25","101358371","-3","6","10","-6","-3","5","Mar 5, 2024 6:31:28 PM"
"0x0","26","101358441","-3","5","4","-6","-4","4","Mar 5, 2024 6:31:28 PM"
"0x0","27","101358511","-8","8","6","-2","-3","4","Mar 5, 2024 6:31:28 PM"
"0x0","28","101358581","-5","3","0","-3","0","3","Mar 5, 2024 6:31:28 PM"
"0x0","29","101358651","-2","5","9","-1","-1","5","Mar 5, 2024 6:31:28 PM"
"0x0","30","101358721","-1","5","9","1","2","9","Mar 5, 2024 6:31:28 PM"
"0x0","31","101358791","-10","8","0","0","-2","2","Mar 5, 2024 6:31:28 PM"
"0x0","32","101358861","-7","4","4","-4","-5","3","Mar 5, 2024 6:31:28 PM"
"0x0","33","101358931","-7","4","7","0","-3","4","Mar 5, 2024 6:31:28 PM"
"0x0","34","101359001","-3","4","7","-1","-3","3","Mar 5, 2024 6:31:28 PM"
"0x0","35","101359071","-6","9","6","-2","-3","6","Mar 5, 2024 6:31:28 PM"
"0x0","36","101359141","-1","4","6","-2","-4","4","Mar 5, 2024 6:31:28 PM"
"0x0","37","101359211","-1","6","9","0","-1","8","Mar 5, 2024 6:31:28 PM"
"0x0","38","101359281","-7","6","8","-6","2","3","Mar 5, 2024 6:31:28 PM"
"0x0","39","101359351","-6","9","9","0","-1","6","Mar 5, 2024 6:31:28 PM"
"0x0","40","101359421","-1","2","8","-1","2","6","Mar 5, 2024 6:31:28 PM"
"0x0","41","101359491","-3","8","10","-3","-2","7","Mar 5, 2024 6:31:28 PM"
"0x0","42","101359561","0","7","10","0","0","6","Mar 5, 2024 6:31:28 PM"
"0x0","43","101359631","-11","10","6","-2","0","1","Mar 5, 2024 6:31:28 PM"
"0x0","44","101359701","-4","3","8","-5","0","3","Mar 5, 2024 6:31:28 PM"
"0x0","45","101359771","-1","5","8","-3","-3","3","Mar 5, 2024 6:31:28 PM"
"0x0","46","101359841","-1","6","9","0","-2","7","Mar 5, 2024 6:31:28 PM"
"0x0","47","101359911","-1","8","10","-4","-2","5","Mar 5, 2024 6:31:28 PM"
"0x0","48","101359981","-1","3","8","-4","0","5","Mar 5, 2024 6:31:28 PM"
"0x0","49","101360051","-8","7","3","-3","-2","4","Mar 5, 2024 6:31:28 PM"
"0x0","50","101360121","-8","6","10","-1","-1","5","Mar 5, 2024 6:31:28 PM"
"0x0","51","101360191","-2","8","2","0","-2","3","Mar 5, 2024 6:31:28 PM"
"0x0","52","101360261","-11","6","7","0","0","6","Mar 5, 2024 6:31:28 PM"
"0x0","53","101360331","-10","6","7","-4","0","3","Mar 5, 2024 6:31:28 PM"
"0x0","54","101360401","4","5","10","-6","-4","4","Mar 5, 2024 6:31:28 PM"
"0x0","55","101360471","-4","4","8","-3","0","1","Mar 5, 2024 6:31:28 PM"
"0x0","56","101360541","-6","8","4","-1","-1","3","Mar 5, 2024 6:31:28 PM"
"0x0","57","101360611","-3","6","7","-4","-1","1","Mar 5, 2024 6:31:28 PM"
"0x0","58","101360681","-5","5","4","0","-2","6","Mar 5, 2024 6:31:28 PM"
"0x0","59","101360751","-6","10","1","-7","-3","3","Mar 5, 2024 6:31:28 PM"
"0x0","60","101360821","-4","6","9","-2","-1","6","Mar 5, 2024 6:31:28 PM"
"0x0","61","101360891","-2","4","8","-3","0","5","Mar 5, 2024 6:31:28 PM"
"0x0","62","101360961","-1","2","8","0","0","4","Mar 5, 2024 6:31:28 PM"
"0x0","63","101361031","-9","2","8","-1","0","5","Mar 5, 2024 6:31:28 PM"
"0x0","64","101361101","-7","5","4","-2","-5","6","Mar 5, 2024 6:31:28 PM"
"0x0","65","101361171","-1","7","11","0","-1","7","Mar 5, 2024 6:31:28 PM"
