Start Time: 3/5/24 5:56 PM
RDT Sample Rate: 100
"PLEASE NOTE: The sample rate is read from the Net F/T when the program starts.  If you have changed the sample rate since the program started, this will be incorrect."
Force Units: N
Counts per Unit Force: 0.224809
Torque Units: Nm
Counts per Unit Torque: 8.85075
Status (hex), RDT Sequence, F/T Sequence, Fx, Fy, Fz, Tx, Ty, Tz, Time
"0x0","1","86507697","-2","-1","-3","3","1","-1","Mar 5, 2024 5:56:02 PM"
"0x0","2","86507767","3","2","-2","4","2","1","Mar 5, 2024 5:56:02 PM"
"0x0","3","86507837","0","2","-9","-2","0","1","Mar 5, 2024 5:56:02 PM"
"0x0","4","86507907","-5","3","-11","0","3","-1","Mar 5, 2024 5:56:02 PM"
"0x0","5","86507977","-1","-3","0","2","5","-2","Mar 5, 2024 5:56:02 PM"
"0x0","6","86508047","1","1","-1","1","1","0","Mar 5, 2024 5:56:02 PM"
"0x0","7","86508117","1","2","-4","0","4","0","Mar 5, 2024 5:56:02 PM"
"0x0","8","86508187","2","2","-2","0","3","2","Mar 5, 2024 5:56:02 PM"
"0x0","9","86508257","-2","-1","-7","-3","3","0","Mar 5, 2024 5:56:02 PM"
"0x0","10","86508327","2","-1","-3","2","-2","1","Mar 5, 2024 5:56:02 PM"
"0x0","11","86508397","-3","-2","0","2","4","-1","Mar 5, 2024 5:56:02 PM"
"0x0","12","86508467","4","0","-2","3","-2","2","Mar 5, 2024 5:56:02 PM"
"0x0","13","86508537","2","-2","-1","1","-2","-1","Mar 5, 2024 5:56:02 PM"
"0x0","14","86508607","5","2","-2","0","3","3","Mar 5, 2024 5:56:02 PM"
"0x0","15","86508677","2","2","-1","0","4","1","Mar 5, 2024 5:56:02 PM"
"0x0","16","86508747","-5","0","-9","3","6","0","Mar 5, 2024 5:56:02 PM"
"0x0","17","86508817","1","2","-2","-1","1","1","Mar 5, 2024 5:56:02 PM"
"0x0","18","86508887","8","0","0","2","2","-2","Mar 5, 2024 5:56:02 PM"
"0x0","19","86508957","3","0","-3","3","-2","2","Mar 5, 2024 5:56:02 PM"
"0x0","20","86509027","-4","0","-4","0","2","0","Mar 5, 2024 5:56:02 PM"
"0x0","21","86509097","-2","-2","-7","2","4","1","Mar 5, 2024 5:56:02 PM"
"0x0","22","86509167","4","1","0","1","4","3","Mar 5, 2024 5:56:02 PM"
"0x0","23","86509237","1","0","-7","-3","4","1","Mar 5, 2024 5:56:02 PM"
"0x0","24","86509307","1","0","0","0","4","1","Mar 5, 2024 5:56:02 PM"
"0x0","25","86509377","4","-1","0","-1","0","0","Mar 5, 2024 5:56:02 PM"
"0x0","26","86509447","-2","-2","-7","2","2","-1","Mar 5, 2024 5:56:02 PM"
"0x0","27","86509517","6","-2","0","-2","4","1","Mar 5, 2024 5:56:02 PM"
"0x0","28","86509587","3","0","-7","4","1","4","Mar 5, 2024 5:56:02 PM"
