,X,Y,Z,R_x,R_y,R_z, Fx, Fy, Fz, Tx, Ty, Tz
14900,0.804911,0.7457572622310282,0.6314901395727448,140.729767,10.911717,111.535286,-180.0,-233.0,-1137.0,418.0,-647.0,175.0
14901,0.803126,0.7458735226457783,0.6391337516986275,138.925507,10.911717,111.535286,-182.50125062531265,-234.00050025012504,-1155.0090045022512,421.00150075037516,-656.0045022511256,176.50075037518758
14902,0.804191,0.7458041571882383,0.6345732772369668,139.080231,10.705213,107.360435,-183.0013336665553,-234.0003333332221,-1159.0100026659984,420.3336662216662,-655.0019993319988,177.33466722233325
14903,0.802862,0.7458907174634221,0.6402642355088424,139.080231,10.705213,111.909302,-183.2513750620308,-236.50400300137505,-1158.7571229327154,419.74937381178114,-650.4947431208117,178.50275137518707
14904,0.802382,0.7459219807682288,0.6423196606183232,141.235229,11.227691,110.960678,-181.9985969977998,-237.40500259919736,-1155.5993891909995,418.99799779940105,-645.5859867966059,178.20159939819857
14905,0.80306,0.7458778213501892,0.6394163726511812,138.964737,11.333443,110.960678,-178.49007120333184,-237.83858467700222,-1151.1550616436166,417.661661777226,-640.6426471134091,178.0008315810135
14906,0.80437,0.7457924985808209,0.6338067749565557,139.522369,11.098379,113.335304,-173.97797585473987,-237.5751407071386,-1142.535666276619,415.13098785658417,-634.2459680113328,177.28428099686002
14907,0.801593,0.7459733698255049,0.6456982656420327,139.060501,11.098379,110.815414,-169.2140885729715,-237.2521198039071,-1135.5693746745692,413.7347372589663,-629.3230261308864,176.87230684293095
14908,0.799925,0.7460820098097083,0.6528408678974795,139.030258,10.521305,110.556404,-166.40129822796482,-237.0008816589353,-1132.047612147816,413.54121639466763,-626.0518579286874,176.88655181864317
14909,0.799671,0.7460985533085018,0.6539285303512465,139.127579,10.502413,110.806816,-164.85422510855884,-237.30214557180167,-1129.5315588329836,413.38639993568574,-623.6358289470734,176.89794778210188
14910,0.800931,0.7460164871333841,0.6485330394388589,139.384308,8.402631,111.617752,-164.5020855816899,-237.6399983624662,-1128.2038895588794,413.7165548646533,-621.6590812599907,177.0900008284641
14911,0.801631,0.7459708948138744,0.6455355444875321,142.9375,8.402631,114.208344,-164.87897779622705,-238.34050513909094,-1128.3543904307837,414.2430614478695,-620.5145505051003,177.0824594196254
14912,0.801434,0.7459837257952221,0.6463791252095485,143.048828,8.240387,114.208344,-165.58481441890657,-238.62369768435946,-1127.4757230604826,414.5337947406964,-618.6174750295172,176.84392116177585
14913,0.802124,0.7459387847945624,0.6434244516146697,143.132797,9.045302,114.208344,-165.68655779716133,-238.79453960684503,-1125.2847008649806,414.9267822023732,-615.9848976047359,176.78324827821424
14914,0.801994,0.7459472519396142,0.6439811292484872,141.067245,11.169845,114.208344,-165.03625482334314,-239.3454097308823,-1123.7886268677355,415.1331013835351,-613.9047395674074,176.32785776490283
14915,0.801447,0.7459828790807169,0.6463234574461665,140.289124,11.169845,112.867386,-165.60070256331522,-239.70147972561878,-1121.7868945294451,415.31363021527915,-610.573323948811,176.2442424568332
14916,0.799396,0.7461164645768806,0.6551061176535535,139.387589,11.169845,110.267822,-166.63240312838735,-240.19354488442747,-1121.9181217915138,415.71010205618427,-608.5825759076683,176.1704644407683
14917,0.798951,0.7461454482657119,0.6570116680154681,139.199478,10.903285,106.839287,-167.99770188750466,-240.18270070508822,-1122.3709435591884,415.89443264914263,-607.4293491248125,176.04885489415187
14918,0.79815,0.7461976189056082,0.6604416586669144,140.238617,10.941754,111.966377,-169.11306763360406,-240.59785279053378,-1123.7320218329,416.5373211124872,-606.7161587907835,176.1524740507354
14919,0.799929,0.7460817492821682,0.6528237393549006,139.124863,10.942554,109.423691,-171.0254735629159,-240.97148848307612,-1125.1084183862763,417.2168722220866,-605.9228595348069,176.19525433273196
14920,0.798059,0.7462035459071444,0.660831333010587,139.207062,10.942554,108.806694,-173.09241871581386,-242.0790904557947,-1126.4499193684348,417.9278960968921,-604.8684360888739,176.18586318802176
14921,0.796111,0.7463304228191517,0.6691729332465641,140.359116,10.52856,112.322235,-175.24705507250374,-242.9022632178896,-1127.118257659672,418.4824118757762,-603.4505361918764,176.31512675953385
14922,0.796656,0.7462949259418191,0.6668391693201743,140.544861,10.702384,111.656052,-176.55494798966444,-244.04947890273775,-1127.9043110809519,419.03266546874,-602.0680198182367,176.30127428013034
14923,0.796687,0.7462929068533837,0.6667064231151869,139.34964,10.635083,108.740372,-178.4282105235072,-244.76390659860877,-1128.66700511646,419.24202784429326,-600.4213875276522,176.16213273021228
14924,0.796252,0.7463212392233648,0.6685691521206545,140.476456,10.53852,110.49498,-180.19208723523565,-245.58310577119116,-1129.7735016298261,419.71801502571924,-599.3517947771245,175.91267677377823
14925,0.797642,0.7462307059031953,0.6626169835744489,137.868484,11.195148,105.294571,-181.74238538771482,-246.33928646892548,-1131.2622124333598,420.2742193926802,-598.5202603987536,175.8771330585234
14926,0.796089,0.7463318557206221,0.6692671402307488,139.643433,10.684327,108.932968,-183.25288194659387,-247.0019299780592,-1133.0158500487262,420.97682503491933,-598.2380944640953,175.88174312034866
14927,0.79675,0.7462888035446278,0.6664366485695679,141.276581,11.072839,111.914963,-185.4880510576522,-247.5448415162064,-1134.752816779687,421.7378379012637,-597.4331030183091,175.8136263526331
14928,0.795841,0.7463480084281056,0.6703291098706474,139.552673,10.399127,107.756302,-187.32428532839185,-248.53985956904302,-1136.5797927406074,422.55126760854984,-596.8235034537853,175.8551113859079
14929,0.794302,0.7464482463991422,0.676919316627921,139.605988,10.108803,108.110985,-189.64684066128487,-249.33326193156498,-1137.9129512382196,423.1413691700956,-595.5105249806911,175.89383056296987
14930,0.794398,0.7464419937381809,0.6765082316060247,139.572037,10.243262,108.154579,-191.7867983230095,-250.4684075387124,-1139.7167500637454,423.5296743133939,-594.5114725652252,175.7335844430519
14931,0.793315,0.746512531569651,0.6811457845092916,139.440582,9.974851,107.972221,-194.42773906227166,-251.278704718852,-1141.629961999392,423.8619714621857,-592.7814397608934,175.5198804018837
14932,0.793861,0.7464769695604334,0.6788077384472566,140.869247,10.416583,109.866783,-196.72386577714775,-252.03988891532933,-1142.8729808051535,424.4204527440612,-591.0946848505199,175.50387295803935
14933,0.791242,0.7466475499672851,0.6900226517008625,140.73703,9.999765,113.045418,-199.00451388146854,-252.9356929731341,-1144.0727743079467,425.2450782027075,-589.6566590125589,175.45890732041448
14934,0.79369,0.7464881071127708,0.6795399836425093,139.417389,10.138593,107.351639,-201.5035477423637,-253.75124337825687,-1145.2911819410338,425.790097328075,-588.0102131848973,175.44557144681818
14935,0.792168,0.7465872378417622,0.6860573940938224,140.07692,9.886959,107.624496,-203.7223981674358,-254.4366802660417,-1146.8658968622215,426.30483460755744,-587.3032522897181,175.26337520057683
14936,0.79211,0.746591015491093,0.6863057579612177,140.779709,10.119562,109.593994,-205.4360657810035,-255.195129001391,-1147.9702507667232,426.90181171024,-586.7170593015761,175.25612801156885
14937,0.792409,0.7465715410574737,0.6850253994034365,139.532608,9.96565,107.351349,-206.8182781630545,-255.86004335187172,-1148.5607757649593,427.46736547440963,-586.081304611229,175.22245649838177
14938,0.789802,0.7467413398817053,0.696188927029306,140.499634,9.718068,111.414291,-208.5477028182158,-256.6476442586778,-1149.1210138783006,427.9255187163756,-584.981658913051,175.0598546593048
14939,0.789777,0.7467429681788307,0.696295980420425,141.375931,10.042339,111.400703,-210.6239897091102,-257.24291525501326,-1149.7297091216242,428.2333073002579,-583.6820939684187,175.0838197470182
14940,0.790523,0.7466943797926102,0.6931015072294398,141.177216,10.124994,112.169861,-212.62386259819098,-258.0081965834351,-1151.3039666513769,428.79977596845214,-583.0928487755721,175.00708979383248
14941,0.789941,0.7467322865496884,0.6955937101746854,140.769974,9.835444,110.294655,-214.4069848237189,-258.6641276024747,-1152.8275504004666,429.31496512933444,-582.5316667161106,174.95831526648968
14942,0.788512,0.7468253600133734,0.7017128820110363,140.941345,9.850037,110.746689,-216.15465475720282,-259.50327574193676,-1154.0665296881464,429.8774318691172,-581.8303555131141,174.88806187854755
14943,0.789521,0.7467596419413943,0.697392207145481,141.390198,9.932195,110.647232,-217.70677530315638,-260.2346163113303,-1155.08664622249,430.344669360671,-581.1609268943148,174.89066103421877
14944,0.787935,0.7468629411110266,0.7041836742780578,141.253952,9.835657,110.397697,-219.1671869658908,-261.0243071697025,-1156.084131949934,430.9047117692456,-580.5439702150665,174.9385743756449
14945,0.787911,0.7468645042762668,0.704286445533532,139.429962,9.213255,106.179642,-220.7197166416277,-261.57956912474054,-1156.7269922515159,431.39593629797037,-579.864913792829,175.07333256094793
14946,0.788075,0.7468538226471246,0.7035841752877929,139.675049,9.672648,107.093956,-221.9449313277343,-262.0458892092359,-1157.4295715687963,431.86625404599516,-579.606616112702,174.98465662370558
14947,0.789465,0.7467632893269551,0.6976320067415873,139.13678,10.252091,105.899101,-223.24704769613388,-262.51410270298794,-1157.8256215504655,432.4662601045871,-578.8898906077031,174.9423300170605
14948,0.788057,0.7468549950210548,0.7036612537293983,139.518753,9.75987,106.669334,-224.9558513956207,-262.81688754676355,-1158.268209312855,433.1253796822098,-578.1606206246016,175.06894769367534
14949,0.787788,0.7468725154981236,0.7048131482178364,139.447906,9.623178,105.03688,-226.5757953703799,-263.189535288324,-1158.8160550930015,433.8401059719265,-577.6039863321411,175.17000550268324
14950,0.78668,0.7469446816267191,0.7095577545122218,140.433289,9.734935,109.479469,-228.15230143743958,-263.9295099074268,-1160.0660947571916,434.5670026307925,-577.5315379554562,175.08617884475666
14951,0.787031,0.7469218203350793,0.7080547249009141,140.713638,9.684974,108.23838,-229.66815975857884,-264.71991986081673,-1161.8203593977128,435.02922992862665,-577.6196805478776,175.0055769748328
14952,0.786377,0.7469644165878784,0.710855241612582,140.803558,9.60533,108.434189,-231.08807740988198,-265.63539968681914,-1163.9537576049631,435.5320995514382,-577.7044962689605,175.06355771137103
14953,0.787034,0.7469216249394242,0.7080418784939799,139.399704,9.909706,105.390892,-232.36032463027155,-266.34584122024523,-1166.0651641787545,436.0733813710904,-577.6911011461593,175.0623492403169
14954,0.788568,0.7468217126278126,0.70147308241493,137.10704,10.72165,105.616722,-233.75439307143176,-266.82499192611596,-1167.7262277796347,436.55762089434023,-577.3233243231282,175.13589396876318
14955,0.785346,0.7470315675613279,0.7152701234623215,139.23317,9.612734,105.616722,-235.02524949353852,-267.2870258674213,-1169.2545414577642,436.9878561014144,-577.0053914037013,175.13339992285054
14956,0.783731,0.7471367555556255,0.7221857725285967,141.077393,9.532466,109.936897,-236.14326397604225,-267.87716263355765,-1170.7472561561797,437.4751508115229,-576.915094951772,175.16707308655418
14957,0.785698,0.747008641137803,0.7137628117153687,140.899841,9.945389,108.721146,-237.15176559980722,-268.4114692526303,-1171.9224203393157,437.94563778188694,-576.6150618876543,175.3237479461707
14958,0.784598,0.7470802862113184,0.7184731609245962,140.959534,9.581276,108.139435,-238.24819046837726,-268.8578764067746,-1173.2670846080212,438.4001716433916,-576.5519949806383,175.4576647336438
14959,0.783206,0.7471709497952579,0.7244338937420913,141.542542,8.939621,107.11451,-239.4625274167314,-269.30656240926487,-1174.6012406089583,438.87387671982054,-576.3022342283093,175.56995301990884
14960,0.781697,0.7472692338097441,0.7308956364300223,140.722122,9.318642,110.889412,-240.90728356422622,-269.84187503204413,-1175.7734085633144,439.2982652360514,-575.8917614701269,175.5265456650718
14961,0.783222,0.7471699076850977,0.7243653795717755,141.161987,9.65193,110.002541,-241.83988865800922,-270.35991423399855,-1176.7248656162956,439.792090297399,-575.7439258407143,175.5510435162284
14962,0.782565,0.7472126993335519,0.7271787426903775,139.713333,9.476806,107.593506,-242.46458228575005,-270.77965090743754,-1177.5151455124303,440.05741913303774,-575.6335255470439,175.4765414305641
14963,0.782528,0.7472151092132975,0.7273371817092333,140.968719,9.732724,110.46608,-243.44056587960526,-271.25075662369244,-1178.6031715524005,440.39506635033496,-575.3814736900623,175.50110342461372
14964,0.781977,0.7472509968819402,0.7296966384494916,140.989929,9.644414,110.311409,-244.41827379108824,-271.7391265860013,-1179.3082971117597,440.7223209284953,-574.9942388159767,175.54079175162067
14965,0.781021,0.7473132629640136,0.7337903601258748,141.750626,9.652542,110.474899,-245.24114838587002,-272.165744001999,-1180.179841101487,441.1961496650778,-574.9630300943178,175.75142083004738
14966,0.780869,0.7473231630105357,0.7344412447438771,141.929153,8.971449,106.694992,-246.07029776021076,-272.61046900267286,-1180.9945125535046,441.640405704162,-574.7630948656151,175.83237226416992
14967,0.782457,0.7472197335771334,0.7276412133400108,139.274292,9.870637,103.888672,-246.99668497146246,-273.08772162354853,-1182.013277201489,442.07159056977247,-574.6906758317567,175.94135029008174
14968,0.780814,0.7473267452642115,0.7346767622043382,141.185333,9.482491,109.314934,-247.86622765847983,-273.5361443197595,-1182.9875099593041,442.46029005694754,-574.5903741811037,175.94222952304162
14969,0.779721,0.7473979344145318,0.7393571364640525,141.314697,9.475536,110.280991,-248.60742570370994,-273.9273967067897,-1183.7269149177566,442.8822327162217,-574.3155265412879,175.9430836252285
14970,0.780334,0.7473580085690182,0.7367321873138195,140.849136,9.566993,109.535332,-249.25481960564753,-274.33679022522455,-1184.2121490525722,443.26311811293,-574.0338408248416,176.0168305722243
14971,0.778349,0.7474872953607711,0.7452322265686528,140.602158,8.961721,108.9058,-250.05687823806383,-274.6197034211153,-1184.7270627112052,443.6478069195625,-573.6880432264247,176.10291608947995
14972,0.781393,0.7472890339027883,0.7321974056660268,139.659134,9.507439,106.361519,-250.9789319470147,-275.0936323828191,-1185.6112055001042,443.9793582164171,-573.5788894226165,176.172444228261
14973,0.782632,0.747208335497256,0.7268918396021791,140.656891,10.305756,108.620476,-251.8760543604439,-275.55474683829,-1186.6115713103177,444.3439835134606,-573.5847904134777,176.22607947952918
14974,0.781092,0.7473086386001776,0.7334863284950974,141.414017,10.088529,109.268471,-252.79074148461697,-275.92056185928664,-1187.460752416384,444.64354941579035,-573.6043668917758,176.34744840346391
14975,0.777679,0.7475309337237305,0.7481012574506365,141.340988,9.258299,109.567375,-253.6130584993434,-276.1947998093361,-1188.4514681135092,445.0308319096727,-573.7190315151996,176.50659488158175
14976,0.779131,0.7474363622266901,0.7418835964944561,139.459152,9.092441,104.300949,-254.38703260070912,-276.5698068103734,-1189.4568995142108,445.42153727318765,-573.8307164207523,176.54022328092495
14977,0.777836,0.7475207080177833,0.7474289621544106,141.218399,9.125051,107.26516,-255.15447212973342,-276.78866690893136,-1190.3033319982658,445.8155402646845,-573.8462919843773,176.65291261726728
14978,0.7765,0.7476077242161621,0.7531498953757993,141.325821,8.247382,105.064262,-255.9024730771011,-277.06777588797473,-1190.9967402410105,446.18640501645837,-573.795680614302,176.78906459711067
14979,0.776055,0.7476367079049933,0.7550554457377139,141.185699,8.988209,108.293991,-256.6707656445192,-277.32690313804324,-1191.9068118965984,446.58699463896784,-573.8763393612601,176.89581019155526
14980,0.775312,0.7476851008955587,0.7582370725217649,141.533661,9.092408,109.095543,-257.5613868608551,-277.60532132725893,-1192.897170864185,447.0162267190958,-574.0449292888644,177.1026887651994
14981,0.775312,0.7476851008955587,0.7582370725217649,141.533661,9.092408,109.095543,-258.31601113376007,-277.8134658619231,-1193.9141451171465,447.4222882064384,-574.3871470756233,177.31721465218064
14982,0.775312,0.7476851008955587,0.7582370725217649,141.533661,9.092408,109.095543,-259.1904815727082,-277.95384665207575,-1195.132483956762,447.8938541810823,-574.7838595173614,177.60186289896438
14983,0.775312,0.7476851008955587,0.7582370725217649,141.533661,9.092408,109.095543,-260.04411946771916,-278.10328895630823,-1196.5202912412462,448.31696858718817,-575.233150118918,177.86732414807028
14984,0.77551,0.7476722047823259,0.7573892096641037,140.720337,8.998291,108.600029,-260.76726690809846,-278.24921292627533,-1197.863159339349,448.71785566234723,-575.6841289380328,178.08973789223225
14985,0.776619,0.7475999735218454,0.752640321234074,140.83252,9.535214,109.199402,-261.4735869510637,-278.39174129460196,-1199.041357473389,449.0487679231601,-576.0639673247881,178.3312346663097
14986,0.772733,0.7478530760270099,0.7692807003495807,140.365555,8.690437,109.683258,-262.13966833686663,-278.6149614535369,-1199.9525389291991,449.31208957998916,-576.2791236232795,178.50719761808315
14987,0.775882,0.7476479757211008,0.7557962552042565,139.488739,9.08181,103.483269,-262.55329626943967,-278.6076647577654,-1200.5345012615348,449.5812882087376,-576.4300605061258,178.84527297136236
14988,0.772963,0.7478380956934567,0.7682958091512879,141.73381,8.147234,104.996391,-262.8167701904835,-278.7296474483172,-1201.2911815264215,449.77400703400735,-577.0236380935228,178.98794218586679
14989,0.772242,0.7478850557825518,0.7713832289511542,140.798691,8.843983,109.496506,-262.90018945034785,-278.7444001253773,-1201.9845834607213,449.99727959327515,-577.6853078529538,179.15066501710385
14990,0.772962,0.7478381608253417,0.7683000912869322,140.131302,8.856433,107.456123,-262.78642536705087,-278.64391733469586,-1202.2720381549123,450.2156417850354,-578.2175146881578,179.44770235289567
14991,0.772832,0.7478466279703935,0.7688567689207506,140.444229,8.999843,108.751389,-262.7206233011481,-278.56836404253744,-1202.5987267612054,450.5088563226637,-578.8177464991089,179.73827794440243
14992,0.774859,0.7477146056394701,0.7601768799688378,138.981216,9.308927,102.690819,-262.56619681202136,-278.39314111368293,-1202.3443766521855,450.7057202587705,-579.236235130415,180.03385529875848
