,X,Y,Z,R_x,R_y,R_z, Fx, Fy, Fz, Tx, Ty, Tz
7700,0.730639,0.7461774434575833,0.6501550240723137,141.119827,14.126556,111.963867,-697.0,-303.0,-1916.0,690.0,-1266.0,407.0
7701,0.729338,0.7462417357166274,0.6550467473379649,140.984314,13.882109,112.286964,-705.504252126063,-303.5002501250625,-1922.00300150075,686.9984992496247,-1270.0020010005,404.49874937468735
7702,0.729316,0.7462428229031755,0.6551294667167848,140.975494,13.864142,112.079491,-708.0053349998883,-304.66800077811115,-1917.9979973313318,684.6633317773333,-1262.6606617748876,401.9966649994445
7703,0.729283,0.7462444536829975,0.6552535457850142,145.847549,14.632099,116.84446,-709.2558758109046,-307.00450300099965,-1911.9894912463753,682.994998000251,-1253.982487746127,399.99449750000116
7704,0.728219,0.7462970339778653,0.659254155742472,145.722031,14.323942,116.406548,-709.6053989963978,-308.00560259879705,-1909.3863920022081,682.3947992024026,-1248.7755868036127,398.99359820220326
7705,0.726976,0.7463584600178282,0.6639278006457805,142.133499,13.216559,114.763489,-711.1750848165184,-310.00967233143825,-1906.6484910355846,681.9946670042809,-1245.4714062239061,398.15924874059516
7706,0.730927,0.7461632111973184,0.6490721522041301,142.133499,14.892776,105.090935,-713.44257813942,-311.1545767069872,-1903.833131729597,682.2820037214302,-1241.678416740893,396.2737088620089
7707,0.727448,0.7463351349246162,0.6621530939729232,140.708328,13.47273,112.854065,-714.8923198324012,-312.5150066121668,-1901.9724910291632,682.4975060076213,-1238.3319253245054,395.11043191772086
7708,0.726167,0.7463984388322531,0.6669696178032831,140.864975,13.214393,113.579773,-716.2430077931136,-313.7962299417459,-1896.8439701814436,681.9957808931783,-1232.1593006479093,392.9785429052941
7709,0.725069,0.7464526993245132,0.6710980668007354,140.986343,12.993865,111.997665,-716.6204007613595,-315.42391201887375,-1893.0425121398737,681.3934997534727,-1227.8239132736487,390.4694276528836
7710,0.724719,0.7464699954741407,0.6724140569183201,141.102264,12.986165,112.056366,-717.0205408570549,-316.5729205865627,-1890.3890562062,680.6266314599217,-1222.8149513325272,388.5992476903906
7711,0.724627,0.7464745418906142,0.6727599743206563,141.107224,13.213766,111.847412,-718.0243316065993,-318.0331819304219,-1887.339920383908,679.5686124203193,-1217.5515194589937,386.62180394730046
7712,0.724546,0.7464785447138138,0.6730645320335831,140.887604,13.240619,111.089401,-718.7189199239557,-319.1140138235547,-1885.1468160098711,678.6733673329354,-1213.5621694085264,384.9485856683132
7713,0.722153,0.7465968009596958,0.6820621444660988,140.474411,13.089449,110.972015,-717.7326116420472,-320.6874853171719,-1882.4042881164564,678.6249562494884,-1210.717886071778,383.51440168254186
7714,0.722153,0.7465968009596958,0.6820621444660988,140.474411,13.089449,110.972015,-717.8176972251221,-321.78261911297756,-1880.2959744739403,678.3144617615803,-1208.05144253558,382.137175974544
7715,0.722153,0.7465968009596958,0.6820621444660988,140.474411,13.089449,110.972015,-717.388386293732,-323.244619416587,-1877.3807133139433,677.8538695281925,-1204.8996992558714,380.4283458654569
7716,0.722153,0.7465968009596958,0.6820621444660988,140.474411,13.089449,110.972015,-717.0688790720008,-324.5346162410532,-1873.2074516083826,677.5067612313161,-1200.102708702651,378.74267202717766
7717,0.721153,0.7466462185300603,0.6858221162306268,141.205246,12.913342,112.155876,-716.7848734581693,-325.7933353806872,-1869.3858376209992,677.2542506719378,-1195.7266706453383,377.24429953166407
