,X,Y,Z,R_x,R_y,R_z, Fx, Fy, Fz, Tx, Ty, Tz
1200,0.553738,0.7492321859123392,0.5963109861461193,143.311966,5.147774,107.379807,-39.0,-306.0,-19.0,108.0,102.0,-172.0
1201,0.556584,0.7492039654462137,0.5820373987001761,143.301895,1.19814,86.287895,-38.473684210526315,-304.421052631579,-16.36842105263158,105.89473684210526,103.05263157894738,-170.94736842105266
1202,0.556899,0.7492008419582201,0.5804575743693703,143.012329,-1.114325,97.845207,-33.87084870848708,-302.0516605166052,-15.494464944649446,106.67158671586715,101.18819188191883,-169.49077490774908
1203,0.557185,0.7491980060294388,0.5790231941833057,140.926727,5.129764,97.845207,-31.58214597266647,-299.12881651642925,-16.223029950567025,108.22099447513811,99.97034021517884,-165.56789764466416
1204,0.557211,0.7491977482177313,0.5788927959845727,140.995407,5.269424,97.857468,-31.684183536421575,-296.8996117310933,-19.831481526702643,110.60897169788282,98.51241727918732,-163.2314717589314
1205,0.555797,0.74921176920828,0.5859844518695212,142.876907,-0.506926,78.558228,-31.5381648842515,-295.8539351501092,-20.721127968943076,112.18636713839665,97.12253526236823,-160.4076071529946
1206,0.555797,0.74921176920828,0.5859844518695212,142.876907,-0.506926,78.558228,-32.20172910607585,-294.73185342391105,-22.499701266869984,112.72568401452857,96.90736781130876,-159.17939763056802
1207,0.555797,0.74921176920828,0.5859844518695212,142.876907,-0.506926,78.558228,-30.937231392770205,-296.3591779149362,-21.885214914491574,113.12501413658728,97.80154498215984,-158.9723160276689
1208,0.555797,0.74921176920828,0.5859844518695212,142.876907,-0.506926,78.558228,-30.78423388372191,-298.0962294966473,-21.740708789393377,113.92082688838086,99.13989451403638,-158.48710292891266
1209,0.554678,0.7492228650275331,0.5915965897303823,142.220612,0.22359,83.648743,-30.66382732388957,-299.61679493054345,-21.319916824543608,114.85418661204064,100.03961991033117,-158.71938405765644
1210,0.554582,0.7492238169476836,0.5920780600026276,142.391708,-0.48895,80.533997,-31.004283277129097,-300.4013020999608,-21.71049166586073,116.04129520648168,100.76250779834051,-158.6145465224865
1211,0.554883,0.7492208322813786,0.5905684500865247,142.105621,4.79805,97.534546,-32.3972777259044,-301.04217266722003,-22.726351251049227,117.84720911352409,101.63175932397752,-157.41403075986156
1212,0.554821,0.7492214470631424,0.59087939963735,142.004471,4.79805,97.534546,-33.55074615059059,-301.17059987310455,-24.103860492968504,119.47667710199727,101.54705190125816,-156.41994422438154
1213,0.555458,0.7492151306763111,0.5876846437683878,139.947296,4.79805,97.534546,-33.99798556907498,-301.2781420972024,-25.127694920811802,120.71149645159981,101.4761196982713,-155.5875171990102
1214,0.554761,0.7492220420132364,0.5911803185575035,139.966492,4.764121,98.828461,-34.124166559040255,-300.613479818449,-26.496815140797064,122.13302742860253,101.41616322158227,-154.38018687107927
1215,0.55457,0.7492239359377023,0.5921382437866582,139.755234,4.61752,98.327278,-34.23167062327781,-300.2926885707681,-27.04955799319015,123.58963746649151,101.48782619264041,-152.86058240929597
1216,0.55465,0.7492231426709104,0.5917370185597872,139.669037,4.646166,98.113388,-34.203866640166865,-299.0574100743461,-28.003731431989685,124.5990083333282,101.78932509277416,-151.7971783394338
1217,0.554633,0.7492233112401037,0.591822278920497,139.59935,4.654273,97.989044,-32.414977280057954,-297.9917137685567,-28.00329239111,124.9991695522023,101.34347250139793,-151.1150814166241
1218,0.554604,0.7492235987993158,0.5919677230652383,139.517593,4.653324,97.847557,-32.25137998309067,-296.83648860159167,-28.002911730378734,123.84308236005256,101.88185239114001,-150.52368429292397
1219,0.554612,0.7492235194726365,0.5919276005425509,139.439529,4.66612,97.723557,-31.31204019593546,-296.285901162532,-28.230260910026324,122.03950069947317,102.23682333142241,-150.23638725031776
