,X,Y,Z,R_x,R_y,R_z, Fx, Fy, Fz, Tx, Ty, Tz
17600,0.812323,0.748676314006725,0.5679283716343897,137.48912,15.660948,98.993057,-188.0,-238.0,-582.0,259.0,-300.0,27.0
17601,0.812199,0.7486797087423023,0.5684397783844677,137.485565,15.674301,99.167648,-184.84210526315792,-238.0,-589.3684210526317,266.89473684210526,-312.10526315789474,33.31578947368421
17602,0.812233,0.7486787779277084,0.5682995539529947,137.417511,15.780274,98.808853,-186.00738007380076,-235.04797047970482,-597.7195571955721,273.20664206642067,-321.6605166051661,37.25830258302583
17603,0.802558,0.7489436494334303,0.608201653203027,140.118317,12.971184,119.322083,-185.71445187554522,-234.4524571096249,-606.5245710962489,277.7990694969468,-328.7380052340797,42.70805466705437
17604,0.800582,0.7489977461874671,0.6163511672203974,140.337967,12.529937,119.322083,-183.34223828477934,-235.80713535688992,-618.3619936021097,282.73202119606356,-337.34878269150937,47.663231667114346
17605,0.799882,0.7490169100173385,0.6192381408095473,138.498856,11.637986,119.322083,-180.28131355923156,-235.84829658591553,-634.0778386499885,287.2710395062308,-349.4393022010035,52.643771648821165
17606,0.799882,0.7490169100173385,0.6192381408095473,138.498856,11.637986,119.322083,-176.77715313556692,-235.1106554666821,-648.24723142339,290.477645043704,-362.5810101569264,56.929011347641975
17607,0.799882,0.7490169100173385,0.6192381408095473,138.498856,11.637986,119.322083,-176.9918636642501,-235.26680881710075,-671.0295489395791,297.5926620660419,-382.14423668214084,64.49152388574501
17608,0.799936,0.7490154316647484,0.6190154314183842,138.591934,11.681582,119.116722,-176.66670364363523,-236.36596265133653,-694.5318777761081,305.4948750954878,-401.3834964356162,72.73673535744489
17609,0.799696,0.7490220021207042,0.6200052509346645,138.427094,11.829935,120.377014,-176.41080797761566,-233.85323105162576,-716.7126454826266,310.63905071738134,-419.90222988317817,76.92257324783208
17610,0.800389,0.7490030299291316,0.6171471470814058,140.329498,12.623857,124.675545,-174.31068694754717,-232.41729645463536,-737.739981914114,316.81241175170226,-435.6555728378881,82.03448936782635
17611,0.798605,0.7490518703184037,0.6245048054857532,138.818893,11.345917,121.920311,-174.26738988289048,-232.6378606536693,-757.8439334310741,322.9703558832931,-447.40973935534515,87.04661186459093
17612,0.802038,0.7489578854213347,0.6103462621549665,138.675629,12.233499,120.382423,-175.03602852429282,-233.22274411727065,-779.8542731206518,328.471684120663,-457.2768534284843,92.26955197786614
17613,0.810763,0.7487190219704383,0.574362198490209,137.97374,15.60165,99.731087,-175.93899556850454,-233.58285049395468,-799.711554962815,332.30040401176615,-463.8537513799724,96.64313148730702
17614,0.810237,0.7487334222197416,0.5765315529300556,137.971054,15.431146,100.470879,-177.70966014609382,-234.39094492097854,-819.1406850573015,336.0403944826664,-469.0351881178041,100.84367247870529
17615,0.810202,0.7487343804112352,0.5766759016095131,138.020782,15.446217,100.547234,-179.70921583808348,-235.20217254547538,-838.6398514508795,338.98131321239583,-473.32693950208403,104.17697244394327
17616,0.810092,0.7487373918702149,0.5771295688878078,138.130875,15.455301,100.706665,-180.70423548948708,-236.97813593178165,-855.8452402595472,342.584010216643,-477.2482015482317,106.91608137251936
17617,0.809834,0.7487444551103676,0.5781936248678088,138.213196,15.405695,100.978363,-181.79797661603726,-238.5102905232248,-872.1005512009873,345.692119763944,-480.3958223967149,109.16149826480473
17618,0.809611,0.7487505601590265,0.5791133321683524,138.289886,15.378762,101.269447,-182.97751742756535,-240.53242136268702,-887.003689011955,348.04008277407667,-481.2750046416098,111.22395587946318
17619,0.802316,0.7489502746431858,0.6091997212152753,140.915222,13.346899,122.91613,-184.8015220668053,-243.65933946895737,-899.8672258906769,350.5400069098233,-480.90217704558506,113.36142686297686
17620,0.809461,0.748754666693999,0.5797319693660272,138.357727,15.398674,101.386314,-188.9783995747727,-246.50474715470293,-913.4687705711766,352.7250965145522,-480.3517299794833,115.90342729423982
17621,0.80929,0.7487593481438676,0.5804372157713766,138.288788,15.26856,101.488083,-194.41604291065875,-248.66722717975506,-927.2821998337769,354.19759414510753,-480.8673319647553,117.6889141111704
17622,0.809388,0.7487566652076856,0.5800330394688955,138.41362,15.441864,101.840744,-198.97883616198567,-250.23988845767317,-942.0640895926429,357.0287591313969,-484.28335914326124,120.24671940002581
17623,0.80952,0.7487530514569098,0.5794886387349418,138.449036,15.562426,101.492462,-202.13250988097596,-250.86582863329403,-956.8359819437401,361.0463523380845,-490.44664675976327,122.61060631072574
17624,0.809346,0.7487578150374778,0.5802062578842446,138.468597,15.530636,101.742287,-203.7342472998612,-250.9880176983573,-968.8121504785024,363.51924561500374,-497.078049125156,124.0531021668928
17625,0.809289,0.7487593755207674,0.5804413400193611,138.478531,15.549145,101.784691,-204.40410246033233,-251.20311344056594,-977.4917301830006,366.24332612605053,-502.73579586242005,125.65103574737385
17626,0.809264,0.7487600599432628,0.5805444462189735,138.505127,15.585526,101.884598,-205.4229371856244,-251.92476600323621,-984.2346565601634,368.2347970223123,-507.1169810421404,127.59921848655364
17627,0.809139,0.7487634820557398,0.581059977217036,138.511047,15.578868,101.981163,-206.53905524132495,-252.35479486141892,-988.6418397956057,369.581813086991,-509.2150868064876,129.11882487874703
17628,0.809196,0.7487619215724503,0.5808248950819195,138.523605,15.630301,101.733398,-206.69237109102667,-252.94721933019014,-992.4573723078574,370.36029948975255,-510.9765450773445,130.26072747264197
17629,0.809139,0.7487634820557398,0.581059977217036,138.555817,15.662052,101.722832,-205.3669477513501,-252.84830427334043,-993.4538781123521,371.15808875164856,-510.97899439920053,130.8600611752236
17630,0.809059,0.7487656722077252,0.5813899170557959,138.623917,15.667097,101.711037,-203.76929942962826,-252.13630980274158,-993.1987569060237,372.1813181686343,-510.25341252896806,130.9785766657256
17631,0.808965,0.7487682456363078,0.5817775963663387,138.659698,15.672146,101.666878,-202.75763202673718,-252.32930569105838,-995.1457342618739,372.78387629258066,-509.8129470854015,131.39501828774945
17632,0.809049,0.7487659459767233,0.581431159535641,138.74205,15.756267,101.436432,-201.028431059618,-252.81126931833302,-996.6785290290122,373.01255557447513,-510.3481931692223,131.9733899683094
17633,0.809224,0.7487611550192554,0.5807094161383533,138.815323,15.822392,101.183212,-198.0425418993355,-253.242125726385,-997.4316217733185,372.908403245064,-510.3123777230644,132.38757050812626
17634,0.809003,0.7487672053141148,0.5816208749429279,138.843674,15.793488,101.299744,-195.06372324630487,-253.31985893688432,-997.3873514407192,371.9946912894406,-510.17777052322504,131.93754871194895
17635,0.808849,0.7487714213566865,0.5822560091325406,138.869492,15.801723,101.039642,-190.35118497666514,-252.98022155659226,-995.1993235296512,370.7675772450165,-508.6250123135585,131.3301092007463
