,X,Y,Z,R_x,R_y,R_z, Fx, Fy, Fz, Tx, Ty, Tz
1300,0.657808,0.7458275348538713,0.6533824423626791,141.158188,11.388262,102.193977,143.0,-52.0,-1330.0,532.0,-1448.0,364.0
1301,0.660226,0.7456474417061398,0.6446581733854004,141.384354,12.150596,98.109756,140.8947368421053,-51.47368421052632,-1343.6842105263158,537.2631578947369,-1459.578947368421,365.0526315789474
1302,0.659758,0.7456822984444104,0.646346741574551,143.020065,10.983397,104.300858,140.19557195571957,-53.88191881918819,-1352.2878228782288,539.7490774907749,-1471.5424354243544,368.3542435424354
1303,0.659758,0.7456822984444104,0.646346741574551,143.020065,10.983397,104.300858,136.3585344576912,-55.66094794998546,-1366.1616749054956,542.4390811282349,-1485.051468450131,372.3221866821751
1304,0.659758,0.7456822984444104,0.646346741574551,143.020065,10.983397,104.300858,132.11967961710337,-57.9414910502796,-1377.1109374618443,544.0412199946276,-1494.562477106786,376.88320187541206
1305,0.659758,0.7456822984444104,0.646346741574551,143.020065,10.983397,104.300858,133.1612390328646,-59.234499817525645,-1384.9838120706247,545.739785171131,-1504.9000275312178,380.96311457041696
1306,0.655894,0.745970089975773,0.6602882532901027,141.857773,10.983397,104.300858,136.58057101826688,-59.57291072259298,-1388.6288331428352,548.0898219696221,-1515.0782251437645,385.5705024562821
1307,0.656557,0.7459207095965563,0.6578961150221394,141.39183,11.2474,100.36824,139.81470069528393,-57.54090994479879,-1394.6638090846357,551.234536083515,-1527.0041012388417,389.8598950905004
1308,0.656897,0.7458953863251631,0.6566693774488246,141.526688,11.354589,101.306564,143.76280847075213,-54.84070374335456,-1399.2895254865941,554.1346435140564,-1536.961322736764,394.45360160601257
1309,0.65698,0.7458892044677348,0.6563699091588684,141.957458,11.547741,99.351334,143.03155546701564,-53.483355194242826,-1417.0550167028177,557.7987869963646,-1552.4741943325928,398.06877417877416
1310,0.657874,0.7458226191600127,0.6531443109513884,141.466629,11.860163,97.336006,137.78059191938536,-52.53852055277215,-1442.5501616730435,562.2000809877239,-1569.6015071412328,403.74231352511066
1311,0.656619,0.7459160918235376,0.657672415817594,141.938736,11.52205,99.215935,131.40064817213647,-51.76667711239265,-1466.5826221900572,568.0252815969139,-1587.3556510665553,410.0493856212702
1312,0.656332,0.7459374676438018,0.6587079266515383,141.975861,11.507659,99.199913,125.0450842896599,-51.395716085316785,-1486.214526690528,573.385163503427,-1604.6045159934008,416.2105263732385
1313,0.656008,0.7459615992318352,0.6598769353978735,142.003281,11.478862,99.264656,119.59340695050021,-51.47406914322485,-1504.4691452146933,578.0030778291213,-1619.8263263593715,422.4070364961938
1314,0.655965,0.7459648018808644,0.6600320816203809,141.359009,11.524889,97.658485,114.48158808143572,-51.414370887433385,-1520.4028364123578,582.4101463792044,-1634.0779835583587,427.7706541593683
1315,0.655461,0.7460023399066944,0.6618505396702359,141.432983,11.401529,98.075348,110.12640506835355,-50.258805131083896,-1537.1694378713087,586.4103838139652,-1648.7977962032287,432.58585522160126
1316,0.654146,0.746100281382818,0.6665951276376139,143.942001,12.078005,105.100868,108.55103767967017,-49.14760830409816,-1551.0708594136265,589.6015404176932,-1663.1038658043685,437.5561797525266
1317,0.653868,0.7461209868811924,0.6675981660063828,143.831146,12.061323,105.110916,106.25065948562239,-47.83597894310529,-1566.1230223836862,594.4724897376535,-1678.7404460302237,442.6677865327303
1318,0.651188,0.7463205938439388,0.6772677445254511,143.289825,11.369136,104.091057,102.05941911115754,-46.92999621656138,-1583.104691887079,599.2738307375762,-1694.1476918791668,448.0246392487303
1319,0.651134,0.7463246157752776,0.6774625793165066,143.312485,11.372325,104.061829,95.33607558667161,-45.68572188418159,-1601.990267843123,604.1377917747808,-1708.4747596624318,453.6000102822087
1320,0.65119,0.7463204448835188,0.6772605284220781,143.488464,11.481931,103.584023,89.45945403871902,-45.6087247468282,-1619.1711565314708,608.6137695621744,-1723.4678078756826,458.4732322786521
1321,0.65111,0.7463264033003172,0.6775491725569762,143.700928,11.538975,103.60788,84.86062980598143,-45.541202919016236,-1633.5722152355668,612.3170842617322,-1736.393956602457,462.96859975979174
1322,0.650969,0.7463369050099243,0.6780579078447326,143.480301,11.513022,103.598457,82.3522507410523,-45.4818195125458,-1643.6041147589976,614.6962388329796,-1745.1287173852936,466.7026898805472
1323,0.650806,0.7463490452841511,0.6786460202695865,143.607132,11.50722,103.803444,81.6619639444817,-44.88612079331253,-1652.0145758488738,617.4459495968019,-1753.808175117933,470.42971220671933
1324,0.645869,0.7467167540808222,0.6964589714444513,146.044998,10.182666,104.856537,81.48291355888178,-43.39011043112308,-1661.816819352606,620.306729446882,-1763.5249208251523,473.72317825059
1325,0.642193,0.7469905433327086,0.709722169442994,147.406326,9.178657,104.355362,81.21747179314087,-40.99644254578281,-1673.4893063614993,623.9087884864377,-1775.1217065658625,477.1738084696809
1326,0.642028,0.7470028325673553,0.7103174979712201,147.564682,9.266407,103.714745,82.04377386180465,-38.87334046348851,-1686.0720595118144,627.4222144325395,-1788.1681852113256,480.5529221972758
1327,0.642028,0.7470028325673553,0.7103174979712201,147.564682,9.266407,103.714745,83.7275146513059,-37.092823482376666,-1700.7320823878636,631.2819936194325,-1803.556722127264,483.9768187955943
1328,0.642028,0.7470028325673553,0.7103174979712201,147.564682,9.266407,103.714745,83.9659959628688,-35.613881041831114,-1713.983009887908,634.4006888148691,-1817.035938345811,488.596741207341
1329,0.649891,0.7464171946762828,0.6819473875624773,143.697006,11.522699,103.089409,84.90938784100348,-35.236495110919904,-1724.4274612916722,637.0739422425446,-1828.5191303197,492.50264277830917
1330,0.649143,0.7464729058733478,0.6846462102237694,144.310776,11.394817,104.30175,86.58227304418503,-34.79604139080172,-1731.3487775127658,639.0416189017141,-1836.3666148506632,495.88128042748497
