,X,Y,Z,R_x,R_y,R_z, Fx, Fy, Fz, Tx, Ty, Tz
2200,0.361947,-0.005146938412625812,0.37418720010533546,140.882019,-0.410091,99.29348,-30.0,-219.0,-1201.0,438.0,-702.0,209.0
2201,0.361995,-0.005242109067992495,0.37381844965044086,140.885071,-0.389599,99.265366,-28.499249624812403,-218.49974987493746,-1199.4992496248124,437.49974987493744,-702.0,207.99949974987493
2202,0.362001,-0.005254005399913275,0.37377235584357926,140.895523,-0.350855,99.207176,-31.669335445667183,-219.00033366688902,-1202.0020016676672,439.66866811188913,-703.3346675560001,208.33333355577793
2203,0.362167,-0.005583137249723147,0.37249709385373597,140.918015,-0.292306,99.083321,-35.00700475137406,-219.2506254375936,-1206.508256127312,440.5027513749367,-703.2508750620308,209.0010010005
2204,0.362176,-0.005600981747604372,0.37242795314344335,140.920334,-0.280462,99.082848,-36.0076029973952,-219.80160120019946,-1207.4084033969946,441.804802599598,-703.0001991989998,209.80240200039907
2205,0.362142,-0.00553356920005299,0.37268915138232694,140.939209,-0.274237,99.062256,-36.84175175798615,-220.0018342491789,-1208.3426687155757,442.33866838591234,-702.6659982766953,210.33666888799706
2206,0.362209,-0.00566641157316905,0.3721744372057034,140.960876,-0.238128,98.890228,-36.43456770285116,-220.4314302844256,-1208.4368552739923,441.86028299271027,-702.1407109991463,210.43171513942403
2207,0.362158,-0.0055652927518418105,0.37256623456402904,140.964554,-0.242455,98.83831,-35.62742739183154,-220.7536269345884,-1209.1346858931972,442.3795614628578,-702.3739367839585,210.25212343159038
2208,0.362174,-0.005597016303630742,0.3724433177457307,141.037048,-0.230694,98.787262,-35.89210280556976,-221.11578029136163,-1210.1236675037321,442.671887881702,-702.7784469678165,210.55866636525715
2209,0.362178,-0.0056049471915780025,0.37241258854115644,141.054825,-0.214506,98.648163,-36.9074494219237,-221.20460089093936,-1211.517556556665,443.3075519672808,-702.7002513273603,210.80390034397166
2210,0.361686,-0.0046294479740692784,0.3761922807038238,141.358765,-0.053675,100.106308,-38.74319618161398,-221.55136580707656,-1213.0234675173122,443.91900444280003,-702.9103668205375,211.0045459918124
2211,0.361686,-0.0046294479740692784,0.3761922807038238,141.358765,-0.053675,100.106308,-40.85953096212729,-222.17550668108254,-1215.1163176170248,444.7637178781703,-703.5882187048218,211.50692103236517
2212,0.361686,-0.0046294479740692784,0.3761922807038238,141.358765,-0.053675,100.106308,-42.03118664859798,-222.5488534391856,-1217.1193443115715,445.63324535515267,-704.2391702283967,212.08677813980634
2213,0.361686,-0.0046294479740692784,0.3761922807038238,141.358765,-0.053675,100.106308,-43.32303684692205,-222.9407582705156,-1218.9081146302872,446.52234104155895,-704.869021485494,212.5837974396619
2214,0.361686,-0.0046294479740692784,0.3761922807038238,141.358765,-0.053675,100.106308,-44.17409942354203,-223.61608122300518,-1220.3912440405495,447.3600234150995,-706.0862370839674,212.8802773366603
2215,0.361684,-0.004625482530095648,0.37620764530611117,141.129517,-0.358012,98.675362,-45.29659778723392,-223.76619677620675,-1222.129769578439,448.15596373647617,-707.340208303672,213.13969659733823
2216,0.362385,-0.006015370642846962,0.3708223522044243,141.017136,0.108457,99.778877,-46.99858123743729,-224.01724238274844,-1224.2567139064993,448.73967108515654,-708.3873550139606,213.5464819243233
2217,0.364847,-0.010896832174364213,0.35190852678879914,141.085571,0.287177,96.829185,-48.175275481326125,-224.4645104956687,-1225.9232086293678,449.426608411886,-709.2621201760029,213.79600930835153
2218,0.364808,-0.010819506016878866,0.35220813653340066,141.071304,0.251447,96.780113,-49.22810401159208,-224.91780339572793,-1227.5735989060804,450.0943415434967,-710.4696571873703,214.33791103882027
2219,0.364735,-0.010674767311841915,0.35276894451688623,141.057144,0.214287,96.767212,-50.47850666521378,-225.3257657126133,-1229.3618054267613,450.5943461303752,-711.3545303994194,214.47228440704342
