,X,Y,Z,R_x,R_y,R_z, Fx, Fy, Fz, Tx, Ty, Tz
2200,0.501047,0.012970198329535054,0.012423654893364722,155.901321,34.282379,145.16481,-212.0,-288.0,-310.0,202.0,-2.0,-68.0
2201,0.501145,0.012957140255516184,0.012276314426621693,155.840027,34.142246,145.541718,-206.99749874937467,-285.49874937468735,-305.4977488744372,201.49974987493746,-6.0020010005002495,-68.50025012506254
2202,0.499619,0.01316047312238161,0.014570615980193824,155.309799,33.331104,145.354904,-198.6566611088885,-282.9966649994445,-299.6593294429998,199.99833233288876,-7.002333999888555,-70.00166766711122
2203,0.499112,0.013228028668581318,0.015332877374467202,156.419968,32.383331,137.155472,-189.2283628101595,-281.74562343797,-290.731113684596,196.7438708110317,-8.253626187218046,-73.00575387631203
2204,0.499539,0.013171132774641908,0.014690893912229108,154.437515,32.92585,143.648514,-178.5613776010149,-280.39379780140257,-279.36217579841355,193.38839239960456,-7.000396996598601,-76.21100720039576
2205,0.500115,0.013094383278367677,0.013824892801575395,154.213745,33.012939,144.869507,-166.1033778302856,-279.6596652818103,-264.5982859501284,189.48057046113178,-3.157402812081179,-79.6845115248067
2206,0.500219,0.013080525730429282,0.013668531489929525,153.603317,33.036873,145.017654,-153.33608575095477,-278.8487128635782,-247.31820545840304,185.68626786860247,4.316037724252958,-83.4551601326854
2207,0.501386,0.012925028053081988,0.01191397715636544,153.560547,32.919708,140.961395,-142.63168446480427,-278.2404992601967,-230.59501552746298,181.83703899491758,12.806189181992648,-87.16121038202269
2208,0.502805,0.012735952471114725,0.009780547336890377,153.321152,33.002884,137.982498,-132.1864804953206,-277.87900116338056,-214.91075626553453,178.06230423450492,20.190525579052732,-90.37835895213124
2209,0.505722,0.012347274900573135,0.005394913240055255,152.061615,34.155281,136.414932,-123.72987904108624,-277.2884506439245,-201.45931026719887,173.83711105544413,27.504297382405966,-92.95207394378386
2210,0.504725,0.012480120816867266,0.006893876968044554,151.134933,34.02914,141.675629,-115.53174938815864,-276.80527375228786,-189.53995462522502,170.74559876904036,33.85374069458808,-94.87510815020559
2211,0.506274,0.012273723299976988,0.004564995509012126,148.935898,33.900459,134.171661,-108.19723125350528,-276.23504176108094,-179.18821318412972,168.0017579377945,39.14493374452069,-96.64521903508947
2212,0.505146,0.01242402439684738,0.006260914350709079,148.570801,33.350361,136.331085,-101.9911129488258,-275.67515304164834,-170.35167919231944,166.1443652703173,43.080388281300884,-98.29777355557934
2213,0.505372,0.012393910879211989,0.0059211291927093734,147.873154,33.485691,133.808609,-96.2402303999211,-275.5547195579922,-162.48994755267026,163.68958964415347,46.45362771112447,-100.14560989737117
2214,0.507637,0.012092109474591953,0.002515760241961651,149.336655,34.478714,132.923004,-90.85333636164691,-275.58461327273426,-154.937982349965,161.5621224038598,49.91417168256699,-101.7470643197982
2215,0.503859,0.012595511552585134,0.00819588558232609,148.512695,33.232403,139.058105,-86.0138757161555,-275.4848300501083,-148.70784980667668,159.70059322707218,52.43837944982995,-103.14833343275153
2216,0.5023,0.012803241526007939,0.010539801782862845,147.090271,32.864101,138.049683,-81.62518371997534,-275.21889967482815,-142.97350658646732,157.88018527694203,54.90279777263633,-104.44403958567155
2217,0.502902,0.012723027642749102,0.009634710344297637,148.609146,32.888596,135.303192,-77.61207668403476,-274.8704592416638,-137.65220997380948,156.09396164445303,57.20544417227286,-105.3716580262085
2218,0.500212,0.013081458450002054,0.013679055808982654,147.185028,31.818792,133.698212,-73.96830590751254,-274.1869497848497,-132.94417098725825,154.38955266582064,58.94705949612304,-106.36095045663215
2219,0.501887,0.012858271980801791,0.011160736606994792,146.716232,32.23798,132.063293,-70.53749261374226,-273.5717932236538,-128.80790265724244,152.85558944744204,60.51450831905425,-107.30178748505016
2220,0.503318,0.01266759745099548,0.00900926509771427,145.534927,33.572102,126.120934,-67.48153078534294,-272.91903088871953,-124.68080125131095,151.56391656495256,61.93267156978768,-108.00872719172773
2221,0.503318,0.01266759745099548,0.00900926509771427,145.534927,33.572102,126.120934,-64.79526069903051,-272.4174799605205,-121.25043956738732,150.3896726039065,63.130039074567684,-108.60546375213139
2222,0.503318,0.01266759745099548,0.00900926509771427,145.534927,33.572102,126.120934,-62.38654675367565,-272.0474607087276,-118.25025700660842,149.36149918416928,64.26724208906082,-109.19426661282063
2223,0.498286,0.013338089578169038,0.016574747022731096,150.422073,31.794121,137.252609,-60.17856744276741,-271.7925733577597,-115.54224804281516,148.37686266836712,65.35182201655866,-109.77614832825682
2224,0.495699,0.013682796083136842,0.020464234649920754,147.140533,30.642988,140.186813,-58.147234610133935,-271.8009704198963,-112.68655104228633,147.39003653883822,66.51155987872991,-110.31147736301504
2225,0.491474,0.0142457589681345,0.02681641293553194,146.236755,29.141582,137.653503,-56.116388080934684,-271.7308325774243,-109.8558116750447,146.32334602196985,67.6989160878154,-111.19506990237907
2226,0.493595,0.013963144937583008,0.02362754426244762,145.823898,29.703157,136.226563,-54.23598278447683,-271.59084887932823,-107.27228884102558,145.33567390161934,68.79831521632897,-111.9006452941647
2227,0.493465,0.013980466872506023,0.023822995902004873,146.774872,30.660208,138.355423,-52.345104976954666,-271.27987080199944,-104.98191043856961,144.59954772131502,69.5657899167655,-112.41102445221838
